Label,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality
Main-ShockAndAwe,0.0919,2.81,"1,298,028"
Main-SuperMode,0.0907,2.97,"452,888"
Main-NINJA,0.0899,2.90,"1,079,634"
Main-LimitBreak,0.0897,2.90,"714,287"
Main-CallingYourAttacks,0.0879,2.73,"1,700,108"
Main-MightyGlacier,0.0867,2.86,"1,296,035"
Main-ElementalPowers,0.0865,2.80,"1,565,313"
Main-AnIcePerson,0.0850,2.81,"1,090,776"
Main-ImplacableMan,0.0844,2.74,"1,147,193"
Main-CombatPragmatist,0.0841,2.74,"1,502,948"
Main-EasterEgg,0.0840,2.86,"1,187,791"
Main-KnifeNut,0.0838,2.82,"1,249,204"
Main-ImprobableWeaponUser,0.0830,2.70,"2,291,879"
Main-CoolCar,0.0819,2.83,"1,935,936"
Main-FrickinLaserBeams,0.0801,2.87,"820,138"
Main-TakingYouWithMe,0.0800,2.76,"1,171,716"
Main-DualWielding,0.0799,2.81,"1,047,578"
Main-LightningBruiser,0.0793,2.77,"1,190,934"
Main-YourHeadASplode,0.0775,2.77,"1,414,156"
Main-FinishingMove,0.0767,2.87,"567,332"
Main-SchmuckBait,0.0766,2.78,"1,805,310"
Main-AuthorityEqualsAsskicking,0.0760,2.68,"1,566,526"
Main-TheMedic,0.0759,2.84,"826,874"
Main-SubTrope,0.0758,3.16,"289,504"
Main-ChainsawGood,0.0751,2.83,"1,112,238"
Main-GunsAkimbo,0.0745,2.78,"1,120,137"
Main-EverythingTryingToKillYou,0.0743,2.83,"1,824,049"
Main-SquishyWizard,0.0743,2.85,"779,742"
Main-FragileSpeedster,0.0739,2.89,"740,413"
Main-KillSat,0.0726,2.85,"814,155"
Main-NewGamePlus,0.0718,2.98,"629,712"
Main-Hammerspace,0.0717,2.79,"1,163,646"
Main-SuperSpeed,0.0708,2.82,"674,313"
Main-PaletteSwap,0.0701,2.88,"875,668"
Main-WeaponOfChoice,0.0690,2.76,"1,162,131"
Main-EliteMooks,0.0689,2.87,"493,990"
Main-TheWorfEffect,0.0686,2.78,"788,344"
Main-GlassCannon,0.0677,2.84,"743,771"
Main-MacrossMissileMassacre,0.0674,2.86,"876,399"
Main-MissionControl,0.0667,2.89,"676,832"
Main-KatanasAreJustBetter,0.0664,2.88,"663,177"
Main-RedshirtArmy,0.0663,2.88,"544,191"
Main-DropTheHammer,0.0660,2.80,"677,087"
Main-EmpathicWeapon,0.0654,2.85,"619,997"
Main-TheComputerIsACheatingBastard,0.0648,2.93,"646,888"
Main-RealityIsUnrealistic,0.0642,2.79,"1,852,626"
Main-CharlesAtlasSuperpower,0.0641,2.81,"603,024"
Main-SchizoTech,0.0616,2.75,"1,322,264"
Main-ColonyDrop,0.0616,2.72,"973,952"
Main-GatlingGood,0.0611,2.83,"998,033"
Main-MadeOfExplodium,0.0608,2.78,"1,722,764"
Main-ImprobableAimingSkills,0.0605,2.77,"1,267,110"
Main-EpicFail,0.0599,2.81,"1,377,488"
Main-CoolShip,0.0590,3.22,"170,279"
Main-GoryDiscretionShot,0.0582,2.85,"763,460"
Main-TransformationSequence,0.0581,2.84,"855,169"
Main-LudicrousGibs,0.0574,2.90,"413,299"
Main-ImpaledWithExtremePrejudice,0.0568,2.78,"989,291"
Main-SpaceMarine,0.0560,2.99,"291,055"
Main-ExpansionPack,0.0556,3.04,"325,191"
Main-ImprovisedWeapon,0.0556,2.75,"1,232,528"
Main-StaffChick,0.0553,2.94,"325,834"
Main-AcePilot,0.0551,2.95,"407,383"
Main-NonstandardGameOver,0.0550,2.90,"701,919"
Main-MagicKnight,0.0546,2.86,"597,227"
Main-DeathTrap,0.0546,2.97,"430,835"
Main-OldMaster,0.0545,2.96,"381,098"
Main-NoOneCouldSurviveThat,0.0545,2.81,"517,117"
Main-LevelGrinding,0.0544,3.06,"369,292"
Main-MegaManning,0.0539,2.89,"463,718"
Main-PlotCoupon,0.0539,3.05,"337,371"
Main-HopelessBossFight,0.0539,2.87,"653,057"
Main-FinalBattle,0.0535,2.96,"293,530"
Main-BondOneLiner,0.0534,2.84,"691,479"
Main-PreAssKickingOneLiner,0.0534,2.79,"701,018"
Main-GameMod,0.0533,2.88,"1,373,455"
Main-BoomHeadshot,0.0531,2.89,"632,314"
Main-LostForever,0.0526,2.86,"808,293"
Main-OffWithHisHead,0.0525,2.87,"538,876"
Main-AnAxeToGrind,0.0523,2.85,"696,138"
Main-SummonMagic,0.0518,2.94,"352,916"
Main-TheDevTeamThinksOfEverything,0.0516,2.92,"466,949"
Main-ElementalRockPaperScissors,0.0512,2.98,"385,357"
Main-GiantSpaceFleaFromNowhere,0.0508,2.85,"598,274"
Main-ButThouMust,0.0506,2.84,"719,873"
Main-TransformingMecha,0.0506,2.89,"598,678"
Main-NighInvulnerability,0.0506,2.78,"583,131"
Main-GiantMook,0.0506,2.88,"476,388"
Main-CombiningMecha,0.0502,2.83,"712,311"
Main-BlowYouAway,0.0502,2.91,"415,472"
Main-ImperialStormtrooperMarksmanshipAcademy,0.0500,2.86,"546,461"
Main-LeeroyJenkins,0.0499,2.82,"560,618"
Main-TheGunslinger,0.0492,2.85,"754,227"
Main-EscortMission,0.0491,2.86,"752,849"
Main-HyperspaceArsenal,0.0489,2.91,"457,136"
Main-TheArcher,0.0487,2.89,"480,774"
Main-DeflectorShields,0.0478,2.87,"484,366"
Main-CoolSword,0.0477,2.83,"640,878"
Main-VideoGameRemake,0.0477,2.93,"626,008"
Main-BeamSpam,0.0476,2.95,"371,017"
Main-IncendiaryExponent,0.0470,2.92,"386,514"
Main-ChekhovsSkill,0.0468,2.86,"616,995"
Main-AnticlimaxBoss,0.0459,2.70,"1,122,769"
Main-BadassArmy,0.0459,2.92,"270,879"
Main-DummiedOut,0.0458,2.86,"653,409"
Main-MegatonPunch,0.0456,2.95,"257,614"
Main-LaserBlade,0.0445,2.86,"407,433"
Main-TankGoodness,0.0444,2.91,"563,938"
Main-Unwinnable,0.0444,3.38,"41,550"
Main-DeaderThanDead,0.0443,2.85,"338,885"
Main-WhipItGood,0.0439,2.80,"745,954"
Main-PowerGlows,0.0438,2.88,"388,486"
Main-ArtificialStupidity,0.0438,2.87,"710,664"
Main-EleventhHourSuperpower,0.0437,2.88,"343,630"
Main-TheBerserker,0.0436,2.87,"389,645"
Main-TheVeryDefinitelyFinalDungeon,0.0435,2.83,"431,665"
Main-ImmuneToBullets,0.0431,2.85,"430,582"
Main-HitPoints,0.0431,3.16,"145,229"
Main-CriticalExistenceFailure,0.0430,2.90,"562,050"
Main-ArmCannon,0.0429,2.87,"423,416"
Main-FourIsDeath,0.0427,2.83,"533,918"
Main-CarFu,0.0426,2.80,"805,655"
Main-BadassCrew,0.0425,2.80,"453,455"
Main-CoolStarship,0.0424,2.82,"875,425"
Main-BoringButPractical,0.0419,2.86,"509,161"
Main-ConvectionSchmonvection,0.0417,2.83,"610,577"
Main-RealityEnsues,0.0414,2.79,"573,658"
Main-ThisIsADrill,0.0414,2.87,"560,797"
Main-BonusDungeon,0.0413,3.00,"180,728"
Main-DeathFromAbove,0.0413,2.90,"428,253"
Main-GoodThingYouCanHeal,0.0412,2.86,"366,014"
Main-BottomlessMagazines,0.0409,2.73,"1,014,400"
Main-ThemeMusicPowerUp,0.0409,2.79,"576,334"
Main-OneHitPointWonder,0.0409,2.99,"551,647"
Main-StormingTheCastle,0.0408,2.85,"457,994"
Main-GoddamnedBats,0.0405,2.75,"1,557,600"
Main-AchillesHeel,0.0404,2.86,"388,992"
Main-DynamicEntry,0.0403,2.81,"566,341"
Main-DangerousForbiddenTechnique,0.0401,2.94,"166,474"
Main-AbsurdlySharpBlade,0.0401,2.89,"453,005"
Main-BulletTime,0.0401,2.86,"586,339"
Main-SuperPrototype,0.0400,2.85,"405,020"
Main-ThisIsGonnaSuck,0.0399,2.83,"420,768"
Main-CutscenePowerToTheMax,0.0398,2.90,"199,338"
Main-TimedMission,0.0397,2.97,"537,639"
Main-Troperiffic,0.0397,2.59,"1,701,759"
Main-BossRush,0.0395,2.95,"501,783"
Main-ElaborateUndergroundBase,0.0394,2.91,"309,630"
Main-HandicappedBadass,0.0392,2.78,"713,986"
Main-ICallItVera,0.0391,2.81,"625,001"
Main-GameOver,0.0390,3.29,"73,547"
Main-StopHelpingMe,0.0390,2.98,"328,787"
Main-BraggingRightsReward,0.0389,2.98,"313,363"
Main-NoOSHACompliance,0.0389,2.81,"787,340"
Main-HundredPercentCompletion,0.0388,2.92,"366,572"
Main-GameBreakingBug,0.0388,2.89,"705,879"
Main-WorldOfBadass,0.0387,2.80,"488,874"
Main-JokeCharacter,0.0387,3.04,"194,865"
Main-FamilyUnfriendlyDeath,0.0386,2.77,"780,806"
Main-AbnormalAmmo,0.0386,2.72,"1,009,051"
Main-TheJuggernaut,0.0385,2.89,"263,801"
Main-Mana,0.0384,3.05,"182,906"
Main-TimeStandsStill,0.0383,2.80,"825,436"
Main-HarderThanHard,0.0376,2.93,"342,310"
Main-SuperDrowningSkills,0.0375,3.17,"184,875"
Main-TrueFinalBoss,0.0374,2.98,"251,887"
Main-BladeOnAStick,0.0374,2.86,"419,646"
Main-LuckBasedMission,0.0372,2.90,"779,534"
Main-ColdSniper,0.0371,2.91,"287,958"
Main-MakingASplash,0.0371,2.91,"326,816"
Main-FetchQuest,0.0368,2.90,"443,065"
Main-BloodlessCarnage,0.0368,2.81,"591,987"
Main-PlotArmor,0.0364,2.86,"272,930"
Main-AwesomeYetPractical,0.0361,3.15,"79,005"
Main-HighlyVisibleNinja,0.0361,2.88,"356,625"
Main-AbsurdlySpaciousSewer,0.0361,2.82,"627,520"
Main-OnlyAFleshWound,0.0361,2.80,"559,925"
Main-FacelessGoons,0.0356,2.87,"241,076"
Main-LethalLavaLand,0.0353,2.93,"381,702"
Main-BackToBackBadasses,0.0353,2.79,"296,286"
Main-InterfaceScrew,0.0351,2.86,"827,540"
Main-DeathRay,0.0349,2.97,"127,367"
Main-StupidJetpackHitler,0.0349,2.95,"370,163"
Main-AllYourPowersCombined,0.0348,2.90,"219,349"
Main-BadassAbnormal,0.0348,2.90,"216,366"
Main-GottaCatchThemAll,0.0345,2.92,"446,007"
Main-BulletHell,0.0344,2.98,"726,186"
Main-EveryCarIsAPinto,0.0344,2.88,"609,454"
Main-DishingOutDirt,0.0344,2.99,"116,310"
Main-TurnsRed,0.0342,2.88,"417,714"
Main-ThrowingYourSwordAlwaysWorks,0.0342,2.85,"461,553"
Main-RecurringBoss,0.0339,2.93,"350,790"
Main-HandCannon,0.0337,2.88,"368,727"
Main-KleptomaniacHero,0.0337,2.96,"381,701"
Main-MadeOfPlasticine,0.0336,2.89,"311,089"
Main-TournamentArc,0.0336,3.09,"681,261"
Main-FloatingContinent,0.0334,2.92,"316,772"
Main-StandardStatusEffects,0.0333,2.91,"461,545"
Main-GoodOldFisticuffs,0.0332,2.91,"309,707"
Main-BadassBiker,0.0330,2.91,"486,256"
Main-InteractiveFiction,0.0328,3.18,"738,228"
Main-GoldfishPoopGang,0.0324,2.96,"144,507"
Main-SinisterScythe,0.0323,2.92,"230,080"
Main-KiAttacks,0.0323,2.92,"245,325"
Main-OnlyMostlyDead,0.0320,2.83,"542,345"
Main-UselessUsefulSpell,0.0320,2.97,"171,898"
Main-OffscreenTeleportation,0.0319,2.84,"513,309"
Main-EverythingsBetterWithSpinning,0.0319,2.88,"452,355"
Main-DeadlyUpgrade,0.0318,2.90,"164,495"
Main-SelfImposedChallenge,0.0318,2.92,"371,438"
Main-AllYourBaseAreBelongToUs,0.0318,2.83,"385,531"
Main-TalkingIsAFreeAction,0.0318,2.84,"372,986"
Main-CastFromHitPoints,0.0317,2.89,"417,773"
Main-BagOfSpilling,0.0317,2.83,"487,217"
Main-JackOfAllStats,0.0315,2.95,"283,422"
Main-UnexpectedGameplayChange,0.0313,2.89,"448,691"
Main-SpikesOfDoom,0.0313,2.98,"385,294"
Main-Nerf,0.0313,3.00,"147,352"
Main-CoolPlane,0.0313,2.88,"529,786"
Main-CombatMedic,0.0312,2.88,"334,317"
Main-ConservationOfNinjutsu,0.0311,2.81,"351,240"
Main-LethalJokeCharacter,0.0311,2.97,"190,558"
Main-KamehameHadoken,0.0307,3.00,"140,940"
Main-SwissArmyWeapon,0.0305,2.89,"250,404"
Main-PuzzleBoss,0.0304,2.93,"339,319"
Main-DiscOneNuke,0.0303,2.93,"277,789"
Main-Cutscene,0.0303,3.10,"98,797"
Main-GrievousHarmWithABody,0.0301,2.79,"457,296"
Main-BreathWeapon,0.0301,2.89,"292,270"
Main-GameMaster,0.0301,3.21,"69,931"
Main-ExpositionFairy,0.0298,3.04,"167,445"
Main-LoadBearingBoss,0.0297,2.89,"237,139"
Main-RandomlyDrops,0.0297,3.02,"147,682"
Main-ActionBomb,0.0296,2.85,"380,727"
Main-TapOnTheHead,0.0295,2.87,"361,361"
Main-WhenAllYouHaveIsAHammer,0.0294,2.82,"373,829"
Main-ImplausibleFencingPowers,0.0294,2.90,"240,182"
Main-OffhandBackhand,0.0293,2.91,"155,988"
Main-Sidequest,0.0292,3.16,"51,549"
Main-Samurai,0.0292,3.04,"242,889"
Main-BattleAura,0.0290,2.92,"231,363"
Main-MakeMeWannaShout,0.0289,2.86,"259,802"
Main-SelfDestructMechanism,0.0289,2.92,"253,962"
Main-RammingAlwaysWorks,0.0288,2.89,"260,686"
Main-CombinationAttack,0.0287,2.97,"171,338"
Main-TheGuardsMustBeCrazy,0.0286,2.85,"442,468"
Main-EvilTowerOfOminousness,0.0285,2.91,"212,553"
Main-SpikesOfVillainy,0.0283,2.89,"132,929"
Main-BagOfHolding,0.0282,2.94,"299,327"
Main-BossInMookClothing,0.0282,2.89,"291,685"
Main-MiniMecha,0.0282,2.90,"261,189"
Main-VideogameCaringPotential,0.0282,2.85,"548,477"
Main-MidSeasonUpgrade,0.0281,3.04,"105,729"
Main-SlippySlideyIceWorld,0.0277,2.98,"327,790"
Main-McNinja,0.0277,2.91,"156,347"
Main-InTheNameOfTheMoon,0.0277,2.89,"350,740"
Main-MagikarpPower,0.0276,2.93,"195,656"
Main-StoneWall,0.0276,2.95,"269,708"
Main-PowerLimiter,0.0276,2.98,"77,054"
Main-AttackItsWeakPoint,0.0275,2.85,"427,351"
Main-CriticalHit,0.0275,3.00,"140,484"
Main-NeverMessWithGranny,0.0273,2.83,"390,270"
Main-HolyHandGrenade,0.0272,2.95,"135,252"
Main-ManOnFire,0.0271,2.93,"226,126"
Main-BashBrothers,0.0270,2.88,"156,065"
Main-ItemCrafting,0.0269,3.03,"202,060"
Main-PowerFist,0.0268,2.88,"205,748"
Main-MalevolentArchitecture,0.0268,2.90,"303,304"
Main-LeParkour,0.0267,2.96,"286,061"
Main-SequenceBreaking,0.0267,2.97,"155,903"
Main-AndYourRewardIsClothes,0.0265,2.83,"505,367"
Main-TakeYourTime,0.0264,2.80,"454,574"
Main-PercussiveMaintenance,0.0264,2.87,"262,037"
Main-PintsizedPowerhouse,0.0264,2.84,"244,009"
Main-WakeUpCallBoss,0.0263,2.90,"279,294"
Main-RocksFallEveryoneDies,0.0261,3.08,"120,551"
Main-OlympusMons,0.0260,2.98,"108,834"
Main-BrokenBridge,0.0259,2.94,"274,590"
Main-RandomEncounters,0.0258,3.07,"111,643"
Main-SwordFight,0.0257,2.97,"195,669"
Main-Munchkin,0.0257,2.98,"256,427"
Main-VoiceWithAnInternetConnection,0.0256,2.97,"179,810"
Main-InstantAwesomeJustAddNinja,0.0256,2.90,"450,453"
Main-SpiderTank,0.0256,2.93,"182,831"
Main-BiggerOnTheInside,0.0255,2.92,"322,086"
Main-SaveScumming,0.0254,2.88,"459,526"
Main-Roguelike,0.0254,3.12,"415,941"
Main-BareFistedMonk,0.0253,3.03,"70,646"
Main-UrbanLegendOfZelda,0.0253,2.85,"371,027"
Main-AnAdventurerIsYou,0.0252,2.98,"264,071"
Main-BloodFromTheMouth,0.0252,2.87,"485,016"
Main-OutrunTheFireball,0.0250,2.89,"340,124"
Main-SwordOfPlotAdvancement,0.0249,2.92,"289,767"
Main-FlashStep,0.0249,2.93,"158,377"
Main-AwesomenessByAnalysis,0.0249,2.77,"567,978"
Main-RasputinianDeath,0.0247,2.81,"343,491"
Main-StopHavingFunGuys,0.0247,3.45,"23,457"
Main-EvilWeapon,0.0246,2.83,"228,090"
Main-PyroManiac,0.0246,2.88,"381,305"
Main-IAmNotLeftHanded,0.0246,2.89,"186,447"
Main-BarrierWarrior,0.0244,2.92,"156,262"
Main-FinalDeath,0.0244,2.96,"269,902"
Main-MusicalAssassin,0.0243,2.80,"310,140"
Main-NoSell,0.0243,2.87,"304,380"
Main-SNKBoss,0.0242,2.89,"278,305"
Main-CoolBike,0.0242,2.98,"154,601"
Main-DownloadableContent,0.0240,2.96,"382,419"
Main-ItsUpToYou,0.0240,2.96,"162,362"
Main-ObviousBeta,0.0239,2.96,"387,519"
Main-ChargedAttack,0.0239,3.07,"176,825"
Main-ClothesMakeTheSuperman,0.0238,2.89,"243,159"
Main-HowDoIShotWeb,0.0238,2.86,"257,282"
Main-GuestStarPartyMember,0.0237,2.96,"159,911"
Main-SpoonyBard,0.0237,3.06,"97,188"
Main-BottomlessPits,0.0236,3.06,"155,078"
Main-GiantEnemyCrab,0.0236,2.89,"438,644"
Main-MookMaker,0.0235,3.00,"189,414"
Main-CoolAirship,0.0235,2.97,"247,727"
Main-HalfTheManHeUsedToBe,0.0235,2.87,"280,463"
Main-IJustShotMarvinInTheFace,0.0234,3.00,"156,377"
Main-ThatsNoMoon,0.0233,2.90,"166,102"
Main-MostAnnoyingSound,0.0233,2.77,"750,751"
Main-DeathIsASlapOnTheWrist,0.0232,2.89,"451,832"
Main-OvershadowedByAwesome,0.0231,2.83,"258,306"
Main-BloodyHilarious,0.0231,3.00,"153,090"
Main-RevolversAreJustBetter,0.0230,2.88,"272,238"
Main-DualBoss,0.0230,2.96,"166,675"
Main-InvisibilityCloak,0.0230,2.99,"141,453"
Main-GrapplingHookPistol,0.0230,2.90,"198,858"
Main-SequentialBoss,0.0229,3.00,"112,913"
Main-TooAwesomeToUse,0.0229,2.90,"236,692"
Main-CannonFodder,0.0229,3.17,"45,309"
Main-FlamingSword,0.0228,2.86,"153,744"
Main-UnflinchingWalk,0.0228,2.95,"179,105"
Main-NotTheFallThatKillsYou,0.0226,2.84,"324,750"
Main-MirrorMatch,0.0226,2.85,"251,264"
Main-RPGElements,0.0225,2.88,"474,935"
Main-HeroesPreferSwords,0.0225,2.95,"173,316"
Main-CoolBoat,0.0225,2.97,"247,011"
Main-MacGyvering,0.0225,2.95,"183,359"
Main-TotalPartyKill,0.0224,3.04,"112,512"
Main-FoeTossingCharge,0.0223,2.96,"84,085"
Main-ReviveKillsZombie,0.0223,3.00,"108,331"
Main-PlatformHell,0.0222,3.08,"273,559"
Main-CutsceneIncompetence,0.0222,2.92,"179,353"
Main-RockBeatsLaser,0.0222,2.82,"290,997"
Main-Mon,0.0221,2.84,"636,457"
Main-RocketPunch,0.0220,2.97,"142,048"
Main-HighPressureBlood,0.0220,2.99,"152,877"
Main-HaveANiceDeath,0.0220,2.84,"660,466"
Main-ImpossiblyCoolWeapon,0.0220,2.90,"176,500"
Main-CollapsingLair,0.0220,3.00,"133,819"
Main-NonLethalKO,0.0219,3.05,"53,315"
Main-CantCatchUp,0.0219,3.01,"86,190"
Main-FlunkyBoss,0.0219,2.89,"271,932"
Main-ArmorIsUseless,0.0218,2.88,"232,853"
Main-WolverineClaws,0.0218,2.81,"327,519"
Main-DeadlyDoctor,0.0218,2.92,"210,742"
Main-WeakButSkilled,0.0217,2.84,"163,037"
Main-ChekhovsBoomerang,0.0217,2.92,"139,711"
Main-NeckLift,0.0215,2.94,"92,190"
Main-InstantAwesomeJustAddDragons,0.0215,2.90,"212,299"
Main-RandomNumberGod,0.0213,3.00,"168,644"
Main-WombLevel,0.0213,2.92,"301,403"
Main-LetsSplitUpGang,0.0213,2.97,"244,003"
Main-DeathOfAThousandCuts,0.0213,2.93,"189,649"
Main-ArbitraryHeadcountLimit,0.0212,2.94,"167,465"
Main-ATeamFiring,0.0212,2.96,"166,205"
Main-KillItWithWater,0.0210,2.98,"128,292"
Main-DuelBoss,0.0209,3.00,"75,418"
Main-SimpleStaff,0.0209,2.97,"118,616"
Main-BigRedButton,0.0208,2.89,"214,505"
Main-PunchedAcrossTheRoom,0.0207,2.97,"104,355"
Main-BatterUp,0.0207,2.90,"247,943"
Main-FantasyGunControl,0.0207,2.94,"164,388"
Main-InstantSedation,0.0206,2.92,"158,542"
Main-CripplingOverspecialization,0.0206,2.86,"336,493"
Main-AttackDrone,0.0206,2.82,"459,136"
Main-AMechByAnyOtherName,0.0206,3.02,"116,490"
Main-CosmeticAward,0.0204,3.01,"190,247"
Main-DegradedBoss,0.0204,2.93,"202,508"
Main-InASingleBound,0.0202,2.95,"123,531"
Main-AttackAttackAttack,0.0201,2.96,"107,398"
Main-BribingYourWayToVictory,0.0201,3.01,"478,289"
Main-AnnoyingArrows,0.0200,2.90,"197,607"
Main-BlownAcrossTheRoom,0.0200,2.93,"138,536"
Main-EpicFlail,0.0200,2.88,"163,576"
Main-LinearWarriorsQuadraticWizards,0.0199,2.93,"123,733"
Main-VendorTrash,0.0199,3.03,"124,636"
Main-SphereOfDestruction,0.0199,2.95,"106,810"
Main-ViolationOfCommonSense,0.0197,3.00,"169,124"
Main-HeroicRROD,0.0197,2.91,"128,415"
Main-YouALLLookFamiliar,0.0197,2.91,"186,117"
Main-MiniGame,0.0196,3.13,"88,836"
Main-IKnowMortalKombat,0.0196,2.91,"263,623"
Main-GoombaStomp,0.0196,3.07,"170,542"
Main-JetPack,0.0196,2.93,"216,325"
Main-PrestigeClass,0.0195,3.10,"62,092"
Main-FireIceLightning,0.0195,2.96,"128,836"
Main-NominalImportance,0.0194,2.91,"137,346"
Main-OffTheRails,0.0194,2.94,"150,182"
Main-ChunkySalsaRule,0.0192,2.97,"109,634"
Main-HollywoodTactics,0.0192,2.89,"168,388"
Main-FastballSpecial,0.0192,2.93,"141,440"
Main-LightEmUp,0.0192,3.02,"64,324"
Main-DramaticWind,0.0191,2.95,"160,441"
Main-AWinnerIsYou,0.0190,2.86,"656,569"
Main-PressXToNotDie,0.0190,2.98,"166,204"
Main-BladeBelowTheShoulder,0.0189,2.90,"167,564"
Main-MasterSwordsman,0.0189,2.95,"111,568"
Main-TheoryOfNarrativeCausality,0.0189,2.96,"262,850"
Main-CrutchCharacter,0.0188,3.04,"70,565"
Main-BloodyMurder,0.0188,2.93,"160,932"
Main-MoneySpider,0.0188,2.91,"251,466"
Main-SpaceIsNoisy,0.0188,2.95,"265,369"
Main-ClimaxBoss,0.0188,3.07,"62,599"
Main-ShiftingSandLand,0.0188,3.04,"138,692"
Main-StatusBuff,0.0186,3.15,"25,667"
Main-VideoGameCrueltyPunishment,0.0186,2.84,"279,453"
Main-TriggerHappy,0.0185,2.84,"177,849"
Main-OldSaveBonus,0.0185,2.96,"162,390"
Main-WhereDoesHeGetAllThoseWonderfulToys,0.0184,2.85,"186,518"
Main-PublicDomainArtifact,0.0184,2.74,"413,036"
Main-LivingWeapon,0.0184,2.92,"252,313"
Main-LawOfChromaticSuperiority,0.0183,2.84,"323,811"
Main-SpamAttack,0.0183,3.00,"78,113"
Main-EverythingFades,0.0183,2.97,"110,113"
Main-PowerCreepPowerSeep,0.0183,2.90,"112,711"
Main-BackStab,0.0183,3.06,"87,489"
Main-NostalgiaLevel,0.0182,2.94,"128,766"
Main-OneHundredAndEight,0.0181,2.99,"141,125"
Main-NightOfTheLivingMooks,0.0181,2.90,"197,896"
Main-ExplosiveOverclocking,0.0181,2.97,"106,933"
Main-DeathCourse,0.0180,2.98,"127,615"
Main-TimeMaster,0.0179,2.92,"99,346"
Main-Metroidvania,0.0179,3.11,"488,475"
Main-AirborneAircraftCarrier,0.0179,3.02,"140,247"
Main-LoadsAndLoadsOfLoading,0.0179,2.90,"322,733"
Main-UndergroundMonkey,0.0179,2.98,"93,449"
Main-InsurmountableWaistHeightFence,0.0179,2.93,"212,818"
Main-DifficultySpike,0.0178,2.91,"340,038"
Main-PrecisionGuidedBoomerang,0.0177,2.89,"238,760"
Main-GunshipRescue,0.0177,2.94,"93,078"
Main-FamilyFriendlyFirearms,0.0177,2.89,"168,865"
Main-TrialAndErrorGameplay,0.0176,3.00,"218,477"
Main-Cap,0.0176,2.96,"235,945"
Main-HyperactiveMetabolism,0.0176,2.86,"268,845"
Main-ForgottenSuperweapon,0.0176,3.08,"21,806"
Main-AncestralWeapon,0.0176,2.88,"189,727"
Main-ScrappyMechanic,0.0176,2.82,"482,097"
Main-DoesntLikeGuns,0.0175,2.94,"119,514"
Main-IKnowKarate,0.0175,3.17,"51,251"
Main-MetalSlime,0.0175,3.00,"87,366"
Main-MiniBoss,0.0175,3.08,"57,340"
Main-SavingTheWorld,0.0174,3.05,"57,035"
Main-RedAlert,0.0174,2.95,"117,856"
Main-TimTaylorTechnology,0.0174,3.02,"70,456"
Main-WhereItAllBegan,0.0173,2.95,"84,991"
Main-TempleOfDoom,0.0173,3.03,"139,741"
Main-KineticWeaponsAreJustBetter,0.0172,2.96,"143,605"
Main-HollywoodHacking,0.0172,2.99,"224,081"
Main-HeKnowsAboutTimedHits,0.0172,2.96,"195,098"
Main-RazorWind,0.0171,3.00,"86,075"
Main-SupernaturalMartialArts,0.0171,2.93,"138,091"
