Label,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality
Main-TimeSkip,0.1140,2.84,"1,512,859"
Main-NoFourthWall,0.1137,2.79,"2,643,170"
Main-CallBack,0.1129,2.77,"1,623,969"
Main-StoryArc,0.1110,2.91,"806,832"
Main-LighterAndSofter,0.1105,2.72,"3,041,563"
Main-NoExportForYou,0.1071,3.45,"184,489"
Main-NoCelebritiesWereHarmed,0.1053,2.77,"2,705,186"
Main-CanonDiscontinuity,0.1046,2.72,"1,975,215"
Main-ResetButton,0.1018,2.84,"902,406"
Main-ArcWords,0.1015,2.79,"2,403,800"
Main-FollowTheLeader,0.1007,3.18,"558,794"
Main-SceneryPorn,0.0995,2.67,"6,499,353"
Main-Homage,0.0979,2.82,"1,390,754"
Main-HeyItsThatGuy,0.0976,2.74,"5,920,799"
Main-Flashback,0.0970,2.96,"1,061,250"
Main-TheOtherDarrin,0.0925,2.66,"3,920,360"
Main-Canon,0.0924,2.94,"731,068"
Main-ArtEvolution,0.0924,2.77,"2,981,360"
Main-SoBadItsGood,0.0922,3.00,"1,318,161"
Main-Gorn,0.0921,2.77,"3,268,744"
Main-DroppedABridgeOnHim,0.0913,2.73,"1,361,127"
Main-AscendedExtra,0.0912,2.68,"2,495,823"
Main-TwentyMinutesIntoTheFuture,0.0899,2.81,"2,111,764"
Main-MoralGuardians,0.0885,2.87,"1,628,333"
Main-AnimatedAdaptation,0.0879,2.78,"2,034,137"
Main-UrExample,0.0860,2.97,"1,965,370"
Main-TheCameo,0.0851,2.84,"2,040,048"
Main-Leitmotif,0.0843,2.71,"1,950,788"
Main-ProductPlacement,0.0841,2.71,"3,834,555"
Main-BookEnds,0.0825,3.01,"858,455"
Main-ViewersAreMorons,0.0812,2.83,"2,145,461"
Main-Irony,0.0810,2.76,"2,129,923"
Main-SequelHook,0.0795,2.77,"1,446,724"
Main-AlternateContinuity,0.0791,2.77,"1,367,112"
Main-InNameOnly,0.0788,2.71,"3,073,233"
Main-BrokenAesop,0.0767,2.73,"1,892,560"
Main-ForegoneConclusion,0.0762,2.80,"2,206,110"
Main-AlternateHistory,0.0762,2.81,"3,335,781"
Main-GainaxEnding,0.0761,2.74,"2,258,572"
Main-ArtShift,0.0749,2.79,"1,697,711"
Main-FanDumb,0.0748,3.10,"503,796"
Main-TheFilmOfTheBook,0.0746,3.01,"1,131,748"
Main-DemotedToExtra,0.0744,2.69,"1,519,823"
Main-ChekhovsGunman,0.0743,2.71,"1,666,859"
Main-CerebusSyndrome,0.0743,2.65,"2,331,805"
Main-NeverSayDie,0.0723,2.74,"1,185,556"
Main-SuspiciouslySimilarSubstitute,0.0716,2.70,"1,787,859"
Main-ThrowItIn,0.0715,2.70,"2,703,920"
Main-LeaningOnTheFourthWall,0.0710,2.74,"1,172,358"
Main-AnachronismStew,0.0707,2.68,"2,831,559"
Main-ChristmasEpisode,0.0701,2.83,"1,299,814"
Main-SteamPunk,0.0701,2.79,"1,961,859"
Main-CliffHanger,0.0697,2.81,"1,249,635"
Main-BrokenBase,0.0695,3.25,"93,703"
Main-GroundhogDayLoop,0.0694,2.81,"1,141,362"
Main-BlackComedy,0.0694,2.87,"1,847,137"
Main-MerchandiseDriven,0.0694,2.90,"996,499"
Main-TheStinger,0.0690,2.74,"2,023,344"
Main-ScrewedByTheNetwork,0.0688,2.74,"2,675,162"
Main-TheFaceless,0.0688,2.76,"1,625,915"
Main-LegacyCharacter,0.0686,2.82,"766,891"
Main-StableTimeLoop,0.0676,2.81,"1,207,134"
Main-PaintingTheFourthWall,0.0670,2.71,"2,283,673"
Main-FantasyCounterpartCulture,0.0661,2.85,"1,157,765"
Main-RedHerring,0.0658,2.89,"917,987"
Main-Asspull,0.0653,2.82,"668,351"
Main-TimeyWimeyBall,0.0640,2.86,"604,696"
Main-Filler,0.0636,2.91,"562,487"
Main-SoundtrackDissonance,0.0634,3.39,"46,204"
Main-ADayInTheLimelight,0.0634,2.74,"1,413,762"
Main-Eagleland,0.0630,2.81,"1,309,422"
Main-Troll,0.0626,3.03,"705,000"
Main-SelfDeprecation,0.0617,2.76,"1,844,952"
Main-MediumAwareness,0.0614,2.78,"1,345,314"
Main-OneSceneWonder,0.0610,2.69,"2,399,435"
Main-StylisticSuck,0.0610,2.69,"2,747,840"
Main-ItWasHisSled,0.0609,3.46,"44,673"
Main-AdaptationDistillation,0.0602,2.91,"836,631"
Main-TotallyRadical,0.0592,2.73,"1,758,075"
Main-DevelopmentHell,0.0568,2.82,"1,658,099"
Main-CanonImmigrant,0.0568,2.79,"849,640"
Main-WalkingTheEarth,0.0564,2.92,"834,671"
Main-MrExposition,0.0556,2.82,"774,553"
Main-OldShame,0.0553,2.75,"2,047,093"
Main-NeverLiveItDown,0.0553,3.20,"194,974"
Main-MST3KMantra,0.0550,3.36,"324,142"
Main-OminousLatinChanting,0.0548,2.79,"1,021,853"
Main-WillingSuspensionOfDisbelief,0.0545,3.20,"81,245"
Main-DeadBabyComedy,0.0538,2.90,"980,267"
Main-TheyJustDidntCare,0.0531,2.89,"882,521"
Main-GenreShift,0.0530,2.66,"2,287,547"
Main-Prequel,0.0529,2.96,"458,326"
Main-CrisisCrossover,0.0525,2.85,"927,387"
Main-StockFootage,0.0524,2.85,"1,673,748"
Main-AscendedFanboy,0.0522,2.81,"716,953"
Main-AbortedArc,0.0521,2.73,"1,073,585"
Main-MythArc,0.0517,2.90,"348,712"
Main-TheyChangedItNowItSucks,0.0514,3.27,"76,053"
Main-SetRightWhatOnceWentWrong,0.0513,2.75,"1,155,857"
Main-IdiosyncraticEpisodeNaming,0.0502,2.70,"2,415,663"
Main-BigApplesauce,0.0498,2.86,"1,217,202"
Main-ContinuityReboot,0.0498,2.93,"359,543"
Main-AuthorTract,0.0497,2.87,"1,096,043"
Main-CreatorsPet,0.0496,3.24,"612,562"
Main-GaidenGame,0.0496,2.93,"457,265"
Main-ContinuitySnarl,0.0493,2.80,"442,241"
Main-TastesLikeDiabetes,0.0492,2.78,"1,264,334"
Main-Retool,0.0482,2.91,"802,264"
Main-SmallNameBigEgo,0.0480,2.79,"1,129,872"
Main-RetGone,0.0478,2.87,"466,871"
Main-CyberPunk,0.0475,2.89,"883,144"
Main-DiabolusExMachina,0.0471,2.76,"905,059"
Main-AndTheFandomRejoiced,0.0470,3.25,"61,550"
Main-OffModel,0.0470,2.85,"799,615"
Main-ThePowerOfRock,0.0468,2.75,"1,690,955"
Main-AuthorExistenceFailure,0.0465,2.89,"1,190,963"
Main-EarlyBirdCameo,0.0463,2.85,"660,230"
Main-WhatDoYouMeanItWasntMadeOnDrugs,0.0463,2.76,"2,793,811"
Main-AdaptationExpansion,0.0460,2.84,"1,337,869"
Main-TheDanza,0.0459,2.85,"1,445,792"
Main-ChuckCunninghamSyndrome,0.0458,2.70,"1,228,141"
Main-TheMultiverse,0.0457,2.89,"480,035"
Main-TalkingToHimself,0.0457,2.67,"1,353,916"
Main-SliceOfLife,0.0455,2.92,"1,886,553"
Main-NeverTrustATrailer,0.0455,3.04,"306,984"
Main-AnachronicOrder,0.0454,2.85,"1,144,928"
Main-VerySpecialEpisode,0.0451,2.88,"748,721"
Main-SpaceOpera,0.0447,2.90,"847,020"
Main-YourPrincessIsInAnotherCastle,0.0443,2.80,"834,619"
Main-PlotHole,0.0439,2.87,"714,849"
Main-LiteraryAgentHypothesis,0.0438,2.98,"520,713"
Main-MadeForTVMovie,0.0438,3.27,"109,354"
Main-ClipShow,0.0434,2.89,"514,520"
Main-GreenAesop,0.0431,2.80,"1,221,414"
Main-Defictionalization,0.0430,2.75,"1,048,407"
Main-Dystopia,0.0429,2.92,"819,751"
Main-GodModeSue,0.0428,3.28,"38,831"
Main-WidgetSeries,0.0426,2.73,"2,645,932"
Main-ForWantOfANail,0.0425,2.81,"756,773"
Main-MauveShirt,0.0423,2.88,"285,524"
Main-TooGoodToLast,0.0419,2.80,"2,577,016"
Main-ScheduleSlip,0.0418,2.85,"1,414,833"
Main-EarlyInstallmentWeirdness,0.0417,2.65,"1,955,863"
Main-ShaggyDogStory,0.0416,2.75,"1,049,803"
Main-FramingDevice,0.0414,2.83,"1,087,715"
Main-SoapOpera,0.0412,3.06,"489,555"
Main-NegativeContinuity,0.0412,2.87,"420,595"
Main-Animesque,0.0410,2.66,"3,111,459"
Main-IAmNotShazam,0.0408,3.38,"115,598"
Main-Zeerust,0.0408,2.85,"730,128"
Main-WorldOfHam,0.0408,2.72,"760,190"
Main-AscendedMeme,0.0407,2.84,"598,203"
Main-DVDCommentary,0.0404,2.82,"595,208"
Main-Pirate,0.0397,2.89,"504,524"
Main-DistantFinale,0.0396,2.91,"405,568"
Main-TheMusical,0.0393,2.97,"1,101,981"
Main-LiveActionAdaptation,0.0393,2.91,"529,889"
Main-FilmNoir,0.0392,2.92,"1,244,823"
Main-NonindicativeName,0.0384,2.71,"1,946,087"
Main-ExcusePlot,0.0381,2.94,"1,020,459"
Main-HowWeGotHere,0.0380,2.89,"713,057"
Main-MassiveMultiplayerCrossover,0.0379,2.75,"1,801,210"
Main-TheNthDoctor,0.0379,3.01,"146,919"
Main-DullSurprise,0.0378,2.89,"500,806"
Main-LawyerFriendlyCameo,0.0376,2.76,"773,534"
Main-IdenticalGrandson,0.0375,2.83,"493,743"
Main-FanWank,0.0374,2.93,"305,259"
Main-PragmaticAdaptation,0.0373,2.85,"492,922"
Main-OriginalGeneration,0.0373,3.00,"270,685"
Main-TrailersAlwaysSpoil,0.0372,2.74,"1,363,128"
Main-CoversAlwaysLie,0.0372,2.68,"2,150,714"
Main-LateArrivalSpoiler,0.0371,2.68,"856,527"
Main-Jossed,0.0371,2.87,"285,501"
Main-WriterOnBoard,0.0371,2.80,"593,105"
Main-ComicBookTime,0.0367,2.91,"548,400"
Main-TheGhost,0.0367,2.86,"801,505"
Main-BreakoutCharacter,0.0367,2.71,"865,272"
Main-FourthWall,0.0366,3.27,"147,223"
Main-MissingEpisode,0.0364,2.72,"2,005,905"
Main-CreatorBreakdown,0.0363,2.78,"1,160,740"
Main-KeepCirculatingTheTapes,0.0363,3.26,"187,017"
Main-RealitySubtext,0.0362,2.86,"482,538"
Main-TheJimmyHartVersion,0.0361,3.52,"32,650"
Main-WhereAreTheyNowEpilogue,0.0359,2.88,"807,127"
Main-SpotlightStealingSquad,0.0359,2.72,"794,106"
Main-ViewersAreGeniuses,0.0358,2.83,"702,026"
Main-Narrator,0.0358,2.85,"820,768"
Main-CreatorCameo,0.0356,2.84,"803,343"
Main-Doorstopper,0.0355,2.84,"1,231,918"
Main-ConspicuousCG,0.0352,2.88,"548,380"
Main-DrugsAreBad,0.0351,2.90,"712,608"
Main-PosthumousCharacter,0.0350,2.91,"640,588"
Main-DubNameChange,0.0350,2.83,"569,455"
Main-WhatIf,0.0348,2.99,"303,619"
Main-CompositeCharacter,0.0347,2.80,"892,173"
Main-DreamSequence,0.0346,3.09,"234,880"
Main-ArtifactTitle,0.0345,2.67,"1,464,727"
Main-BroadStrokes,0.0345,2.83,"420,600"
Main-NoEnding,0.0345,2.83,"992,269"
Main-CashCowFranchise,0.0344,2.77,"741,537"
Main-ShrugOfGod,0.0344,2.84,"390,316"
Main-TooSoon,0.0341,2.82,"947,509"
Main-LeftHanging,0.0340,2.85,"411,763"
Main-HistoricalInJoke,0.0336,2.89,"379,537"
Main-TheCastShowoff,0.0334,2.81,"758,755"
Main-YouLookFamiliar,0.0332,2.88,"586,123"
Main-SuperDeformed,0.0332,3.03,"320,132"
Main-NarmCharm,0.0331,2.65,"1,172,518"
Main-HarsherInHindsight,0.0329,2.70,"1,247,884"
Main-AdaptationDecay,0.0328,2.95,"363,209"
Main-RaceLift,0.0324,2.75,"922,980"
Main-FlameWar,0.0322,2.83,"838,445"
Main-GagDub,0.0321,2.85,"732,210"
Main-GrowingTheBeard,0.0321,2.65,"1,267,147"
Main-Novelization,0.0321,2.88,"512,016"
Main-TemporalParadox,0.0320,2.89,"305,486"
Main-ActingForTwo,0.0320,3.16,"128,773"
Main-SnapBack,0.0320,2.92,"231,956"
Main-BolivianArmyEnding,0.0319,2.87,"481,429"
Main-DeliberatelyMonochrome,0.0319,2.81,"1,121,131"
Main-AuthorFilibuster,0.0315,2.91,"538,019"
Main-OneOfUs,0.0314,2.61,"1,782,603"
Main-WholeEpisodeFlashback,0.0314,2.93,"346,036"
Main-Macekre,0.0313,3.21,"75,757"
Main-OpeningNarration,0.0312,2.76,"1,116,761"
Main-EnforcedMethodActing,0.0309,2.89,"775,717"
Main-RippedFromTheHeadlines,0.0308,3.04,"466,536"
Main-DorkAge,0.0307,2.70,"753,078"
Main-Retraux,0.0304,2.76,"1,622,507"
Main-MusicalEpisode,0.0304,2.93,"457,498"
Main-MoneyDearBoy,0.0303,2.92,"651,440"
Main-ThisIsReality,0.0302,2.82,"317,850"
Main-MetaGuy,0.0301,2.95,"90,618"
Main-CrystalSpiresAndTogas,0.0300,2.96,"260,953"
Main-DecoyProtagonist,0.0299,2.84,"555,459"
Main-CaliforniaDoubling,0.0298,2.87,"1,042,926"
Main-RuinedFOREVER,0.0296,2.62,"1,406,817"
Main-TrueArtIsIncomprehensible,0.0296,2.82,"961,556"
Main-ImageSong,0.0294,2.95,"181,007"
Main-BreatherEpisode,0.0292,2.81,"339,630"
Main-CriticalResearchFailure,0.0291,2.85,"645,751"
Main-WorldWarIII,0.0290,2.86,"519,942"
Main-OutOfFocus,0.0290,2.81,"262,363"
Main-LyricalDissonance,0.0287,2.94,"409,337"
Main-SceneryGorn,0.0286,2.78,"538,112"
Main-CanonForeigner,0.0285,2.84,"375,144"
Main-MarketBasedTitle,0.0285,2.85,"1,081,179"
Main-OffscreenMomentOfAwesome,0.0283,3.20,"80,960"
Main-GenreBusting,0.0280,2.72,"989,696"
Main-DoingItForTheArt,0.0280,2.66,"1,448,170"
Main-ContemplateOurNavels,0.0279,3.02,"144,249"
Main-Vaporware,0.0278,2.92,"660,113"
Main-VeryLooselyBasedOnATrueStory,0.0277,3.05,"595,425"
Main-WhatDoYouMeanItsNotForKids,0.0275,2.65,"1,647,234"
Main-PurpleProse,0.0275,2.90,"553,444"
Main-SacrificialLamb,0.0275,2.82,"292,969"
Main-WhereTheHellIsSpringfield,0.0274,2.89,"390,070"
Main-Camp,0.0274,3.01,"273,838"
Main-ThemeTuneCameo,0.0272,2.76,"538,080"
Main-SpoilerOpening,0.0272,2.84,"280,409"
Main-ComicBookAdaptation,0.0271,2.94,"226,675"
Main-BlackDudeDiesFirst,0.0271,2.91,"385,826"
Main-GermansLoveDavidHasselhoff,0.0271,3.33,"75,719"
Main-AdaptationDisplacement,0.0270,2.69,"1,711,666"
Main-BloodierAndGorier,0.0269,2.87,"363,115"
Main-ReplacementScrappy,0.0269,2.72,"540,024"
Main-PromotedFanboy,0.0269,2.74,"618,521"
Main-KudzuPlot,0.0268,2.91,"234,705"
Main-DeconstructorFleet,0.0265,2.72,"728,092"
Main-RuleOfSymbolism,0.0265,3.05,"209,107"
Main-AesopAmnesia,0.0264,2.86,"261,658"
Main-IntercontinuityCrossover,0.0264,2.74,"857,524"
Main-LemonyNarrator,0.0264,2.89,"682,037"
Main-CelebrityParadox,0.0263,2.66,"1,119,868"
Main-HighFantasy,0.0263,2.91,"1,156,737"
Main-TechnologyMarchesOn,0.0262,2.82,"788,968"
Main-Revival,0.0260,3.01,"356,224"
Main-Hatedom,0.0259,3.43,"24,255"
Main-AndKnowingIsHalfTheBattle,0.0259,2.85,"427,837"
Main-DarkReprise,0.0258,2.86,"483,245"
Main-Infodump,0.0258,3.41,"75,579"
Main-CharacterTitle,0.0257,2.89,"1,198,924"
Main-PeripheryDemographic,0.0257,2.70,"935,533"
Main-Reconstruction,0.0257,2.82,"505,783"
Main-AdventurerArchaeologist,0.0256,2.92,"324,261"
Main-InferredHolocaust,0.0255,2.78,"548,306"
Main-Postmodernism,0.0255,2.85,"664,802"
Main-ExpositoryThemeTune,0.0255,2.88,"659,309"
Main-SpaceWhaleAesop,0.0253,2.95,"279,505"
Main-TwoLinesNoWaiting,0.0252,2.86,"366,641"
Main-CouchGag,0.0250,2.89,"387,660"
Main-CulturalTranslation,0.0249,2.85,"808,838"
Main-UnpleasableFanbase,0.0248,3.34,"29,220"
Main-OrWasItADream,0.0247,2.94,"368,946"
Main-InkSuitActor,0.0246,2.82,"294,625"
Main-LoveItOrHateIt,0.0245,3.33,"46,495"
Main-TheArtifact,0.0245,2.77,"461,047"
Main-FakeAmerican,0.0245,2.88,"666,529"
Main-HeWhoMustNotBeSeen,0.0244,2.97,"228,542"
Main-FauxSymbolism,0.0244,2.80,"533,493"
Main-WolverinePublicity,0.0244,2.81,"349,511"
Main-MightyWhitey,0.0243,2.90,"502,806"
Main-Sequelitis,0.0243,2.78,"666,200"
Main-InMediasRes,0.0243,2.88,"392,317"
Main-Imageboards,0.0243,3.02,"494,562"
Main-MilestoneCelebration,0.0243,2.77,"408,218"
Main-CosmicRetcon,0.0243,3.00,"167,041"
Main-TheBusCameBack,0.0243,2.97,"156,660"
Main-RealIsBrown,0.0242,2.89,"461,364"
Main-TheThemeParkVersion,0.0242,3.00,"146,469"
Main-TheWikiRule,0.0241,2.70,"920,861"
Main-NostalgiaFilter,0.0241,3.02,"168,805"
Main-AnimationAgeGhetto,0.0241,2.81,"474,199"
Main-Anticlimax,0.0240,2.94,"213,157"
Main-Kayfabe,0.0240,3.33,"21,761"
Main-NonSerialMovie,0.0239,3.10,"57,191"
Main-GodwinsLaw,0.0239,3.25,"71,297"
Main-SomeAnvilsNeedToBeDropped,0.0239,3.42,"17,740"
Main-TheAbridgedSeries,0.0238,2.98,"1,684,323"
Main-HesJustHiding,0.0238,2.79,"328,501"
Main-TheWestern,0.0237,3.07,"796,992"
Main-SturgeonsLaw,0.0236,3.33,"246,186"
Main-StealthParody,0.0234,2.87,"622,874"
Main-PoorlyDisguisedPilot,0.0233,2.87,"343,615"
Main-RecycledTheSeries,0.0233,2.87,"356,931"
Main-AsHimself,0.0232,2.95,"498,935"
Main-TomatoSurprise,0.0231,2.94,"309,983"
Main-StrictlyFormula,0.0231,2.86,"456,134"
Main-FamilyUnfriendlyViolence,0.0230,2.82,"226,351"
Main-RescuedFromTheScrappyHeap,0.0229,2.67,"494,093"
Main-SpringtimeForHitler,0.0229,2.84,"728,778"
Main-WhatDoYouMeanItsForKids,0.0229,2.68,"954,223"
Main-Ruritania,0.0228,3.00,"211,918"
Main-Sentai,0.0227,3.04,"60,238"
Main-Pilot,0.0226,3.05,"278,729"
Main-FreezeFrameBonus,0.0225,2.89,"218,124"
Main-CutShort,0.0225,2.89,"314,987"
Main-SpoofAesop,0.0225,2.89,"268,234"
Main-RememberTheNewGuy,0.0224,2.88,"152,867"
Main-DerangedAnimation,0.0223,3.01,"252,637"
Main-UnCanceled,0.0223,2.92,"443,391"
Main-SpecialGuest,0.0222,3.05,"158,261"
Main-CastingGag,0.0222,2.88,"425,832"
Main-BLAMEpisode,0.0222,2.72,"471,365"
Main-Elseworld,0.0221,2.97,"164,833"
Main-FishOutOfTemporalWater,0.0221,2.76,"947,087"
Main-RefugeInVulgarity,0.0221,3.03,"233,837"
Main-UltimateShowdownOfUltimateDestiny,0.0220,2.91,"234,304"
Main-ChurchOfHappyology,0.0220,2.98,"290,393"
Main-AdamWesting,0.0219,2.87,"370,165"
Main-TrueArtIsAngsty,0.0218,2.83,"407,450"
Main-HappyEnding,0.0217,3.41,"27,261"
Main-FlashForward,0.0217,3.08,"99,553"
Main-CallForward,0.0217,2.93,"118,345"
Main-SeasonFinale,0.0217,3.05,"79,256"
Main-TheyWastedAPerfectlyGoodPlot,0.0216,3.41,"14,415"
Main-PreviouslyOn,0.0215,2.85,"273,228"
Main-FlipFlopOfGod,0.0215,2.87,"186,120"
Main-ClicheStorm,0.0213,2.76,"642,007"
Main-UsedFuture,0.0213,2.97,"241,581"
Main-SugarBowl,0.0212,2.99,"252,485"
Main-NeedsMoreLove,0.0212,3.16,"358,939"
Main-UnbuiltTrope,0.0212,2.79,"646,782"
Main-TrappedInTVLand,0.0211,2.84,"472,841"
Main-AlternateCompanyEquivalent,0.0211,2.84,"283,321"
Main-ContractualImmortality,0.0211,3.06,"33,407"
Main-JigsawPuzzlePlot,0.0211,2.90,"175,521"
Main-PostScriptSeason,0.0211,2.90,"194,019"
Main-TonightSomeoneDies,0.0210,2.94,"105,965"
Main-SignificantAnagram,0.0210,2.91,"243,416"
Main-TheVietnamWar,0.0209,3.00,"306,115"
Main-WakeUpGoToSchoolSaveTheWorld,0.0208,2.99,"121,046"
Main-Utopia,0.0208,3.07,"105,569"
Main-CultClassic,0.0207,2.69,"3,105,561"
Main-RealLifeRelative,0.0206,2.90,"591,698"
Main-TheFilmOfTheSeries,0.0206,3.13,"119,902"
Main-AnimationBump,0.0206,2.93,"305,772"
Main-TheProblemWithLicensedGames,0.0206,2.87,"506,540"
Main-TheRant,0.0206,3.22,"108,294"
Main-MedievalEuropeanFantasy,0.0205,2.95,"268,413"
Main-HereWeGoAgain,0.0204,2.95,"233,177"
Main-NobleSavage,0.0204,3.06,"190,111"
Main-AnimatedActors,0.0203,2.90,"233,785"
Main-EveryoneIsJesusInPurgatory,0.0203,2.80,"487,143"
Main-DolledUpInstallment,0.0202,2.92,"344,435"
Main-FourthWallMailSlot,0.0202,2.98,"377,248"
Main-RealSongThemeTune,0.0201,2.91,"780,453"
Main-SaveThePrincess,0.0201,3.03,"172,159"
Main-ThisIsYourPremiseOnDrugs,0.0200,3.48,"17,769"
Main-WordSaladTitle,0.0200,2.78,"1,079,820"
Main-ButterflyOfDoom,0.0199,3.00,"125,790"
Main-ContinuityLockOut,0.0199,2.81,"219,940"
Main-SpinoffBabies,0.0199,2.86,"365,046"
Main-CharacterFilibuster,0.0197,2.97,"206,225"
Main-SmallReferencePools,0.0196,2.72,"1,134,883"
Main-TheFuture,0.0196,3.15,"65,009"
Main-SignatureStyle,0.0195,2.65,"877,159"
Main-TheRemake,0.0194,3.03,"369,894"
Main-DirectToVideo,0.0193,2.95,"300,439"
Main-DuelingShows,0.0192,2.65,"1,270,149"
Main-BitingTheHandHumor,0.0192,2.91,"279,298"
Main-ShockingSwerve,0.0191,2.91,"237,442"
Main-BaseBreaker,0.0191,3.32,"11,455"
Main-TheWildWest,0.0190,2.99,"413,738"
Main-TheGreatPoliticsMessUp,0.0190,3.00,"240,666"
Main-ReferenceOverdosed,0.0189,2.87,"299,035"
Main-ItWillNeverCatchOn,0.0189,2.82,"491,562"
Main-ColonCancer,0.0188,3.00,"148,243"
Main-ShooOutTheClowns,0.0188,2.86,"115,495"
Main-TheMerch,0.0187,3.08,"136,672"
Main-YellowPeril,0.0187,2.97,"251,614"
Main-SequelEscalation,0.0186,2.84,"252,988"
Main-AprilFoolsDay,0.0186,2.76,"709,127"
Main-WriteWhoYouKnow,0.0186,2.83,"589,761"
Main-PoliceProcedural,0.0186,3.30,"142,092"
Main-TheAnimeOfTheGame,0.0186,2.86,"301,460"
Main-DisneyAcidSequence,0.0186,2.93,"421,389"
Main-RealityShow,0.0185,3.56,"45,477"
Main-RecurringCharacter,0.0184,2.97,"167,474"
Main-HellIsThatNoise,0.0183,3.34,"19,384"
Main-IWantSong,0.0183,2.99,"264,274"
Main-PublicDomainCharacter,0.0183,3.05,"267,206"
Main-RunningTheAsylum,0.0183,2.86,"246,870"
Main-OutOfCharacter,0.0183,3.34,"62,423"
Main-RippleEffectProofMemory,0.0183,2.91,"135,190"
Main-FixFic,0.0183,2.71,"663,390"
Main-SharedUniverse,0.0182,2.89,"365,123"
Main-ContinuityPorn,0.0182,2.86,"151,247"
Main-CreatorBacklash,0.0181,2.80,"656,506"
Main-Padding,0.0181,2.89,"558,565"
Main-DevelopmentGag,0.0181,2.97,"95,398"
Main-MagicalNegro,0.0181,2.94,"335,864"
Main-CreditsGag,0.0181,2.82,"407,199"
Main-WritersCannotDoMath,0.0181,2.86,"275,609"
Main-TheyKilledKenny,0.0180,2.88,"188,735"
Main-AudioAdaptation,0.0180,2.99,"124,637"
Main-NotAllowedToGrowUp,0.0180,2.91,"242,423"
Main-TheTeaser,0.0180,2.89,"296,138"
Main-RockOpera,0.0180,3.13,"225,763"
Main-InSpiteOfANail,0.0179,2.90,"208,971"
Main-VoodooShark,0.0178,2.95,"133,963"
Main-CharacterBlog,0.0178,2.89,"429,313"
Main-PerpetualPoverty,0.0177,2.99,"166,466"
Main-HornyVikings,0.0177,2.96,"176,146"
Main-HeroOfAnotherStory,0.0176,2.84,"202,107"
Main-JumpingTheShark,0.0175,2.91,"259,912"
Main-Misblamed,0.0175,2.72,"590,129"
Main-SeriesContinuityError,0.0175,2.88,"143,987"
Main-RecursiveAdaptation,0.0173,2.91,"272,312"
Main-LowerDeckEpisode,0.0173,3.02,"105,904"
Main-ScavengerWorld,0.0173,3.08,"140,022"
Main-GagSeries,0.0173,2.99,"149,110"
Main-FutureImperfect,0.0172,2.95,"160,994"
Main-NothingIsTheSameAnymore,0.0172,2.85,"114,497"
Main-Fandom,0.0171,3.23,"215,972"
Main-WebcomicTime,0.0171,3.02,"148,958"
Main-SeinfeldIsUnfunny,0.0171,2.56,"1,276,444"
Main-WhoWouldWantToWatchUs,0.0171,2.89,"177,304"
Main-AllStarCast,0.0170,2.97,"437,400"
Main-GreekChorus,0.0170,3.04,"139,540"
Main-Disneyfication,0.0170,2.96,"173,950"
Main-EnforcedTrope,0.0169,3.18,"51,825"
Main-SeasonalRot,0.0169,2.77,"337,619"
Main-UltimateUniverse,0.0169,3.09,"50,554"
