Label,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality
Main-WhatCouldPossiblyGoWrong,0.0275,2.97,"171,719"
Main-YourMom,0.0273,2.89,"409,615"
Main-EverythingsCuterWithKittens,0.0273,2.82,"537,327"
Main-LastNameBasis,0.0271,2.83,"496,396"
Main-BrandX,0.0270,2.87,"544,160"
Main-PhraseCatcher,0.0265,2.86,"275,442"
Main-UnfortunateNames,0.0265,2.76,"644,170"
Main-CoolOldLady,0.0262,2.94,"382,997"
Main-DeepSouth,0.0261,3.03,"444,967"
Main-SpitTake,0.0260,2.88,"391,713"
Main-SoundEffectBleep,0.0256,2.87,"446,471"
Main-FakeNationality,0.0254,2.92,"722,968"
Main-IdenticalStranger,0.0253,2.93,"324,678"
Main-LiteralMinded,0.0252,2.96,"279,258"
Main-ITakeOffenseToThatLastOne,0.0252,2.82,"442,256"
Main-HonestJohnsDealership,0.0251,2.89,"417,586"
Main-DopeSlap,0.0248,2.90,"175,964"
Main-HilariousOuttakes,0.0248,2.79,"535,734"
Main-BarBrawl,0.0248,2.81,"532,863"
Main-Mondegreen,0.0247,2.98,"361,717"
Main-BeatPanel,0.0241,2.99,"320,560"
Main-ThatCameOutWrong,0.0241,2.96,"200,773"
Main-SuperTrope,0.0240,3.19,"251,866"
Main-TalkativeLoon,0.0240,2.74,"436,796"
Main-GRatedDrug,0.0240,2.89,"301,046"
Main-TheStoner,0.0237,3.14,"216,954"
Main-FailedASpotCheck,0.0236,2.90,"402,917"
Main-ViolentGlaswegian,0.0235,2.94,"300,004"
Main-NotEvenBotheringWithTheAccent,0.0235,2.89,"508,474"
Main-GratuitousSpanish,0.0233,2.93,"313,950"
Main-FreudianSlip,0.0232,2.94,"210,247"
Main-TheSpeechless,0.0231,2.97,"236,101"
Main-JiveTurkey,0.0231,2.97,"154,402"
Main-TooMuchInformation,0.0229,3.02,"149,958"
Main-ButYouScrewOneGoat,0.0228,2.84,"571,455"
Main-SisterTrope,0.0227,3.03,"537,604"
Main-FakeBrit,0.0225,2.96,"281,273"
Main-Dissimile,0.0225,2.88,"321,150"
Main-GratuitousFrench,0.0224,2.96,"4,511,247"
Main-YouAreNumberSix,0.0223,2.83,"338,401"
Main-RichIdiotWithNoDayJob,0.0223,3.02,"164,644"
Main-MyNameIsInigoMontoya,0.0221,3.01,"67,296"
Main-BavarianFireDrill,0.0220,2.86,"298,887"
Main-SpellMyNameWithAThe,0.0220,2.85,"386,925"
Main-CodeName,0.0219,2.93,"184,090"
Main-RantInducingSlight,0.0219,2.94,"193,228"
Main-EmbarrassingMiddleName,0.0219,2.93,"262,995"
Main-OncePerEpisode,0.0217,2.82,"412,407"
Main-SitcomArchNemesis,0.0216,2.92,"342,793"
Main-StrangeMindsThinkAlike,0.0216,2.83,"318,254"
Main-ScreamsLikeALittleGirl,0.0215,2.90,"171,434"
Main-BringMyBrownPants,0.0215,2.86,"359,108"
Main-ExaggeratedTrope,0.0214,2.96,"219,620"
Main-BadGuyBar,0.0214,2.93,"178,148"
Main-IncomingHam,0.0213,2.85,"256,423"
Main-PungeonMaster,0.0213,2.88,"371,543"
Main-CatapultNightmare,0.0212,2.89,"280,544"
Main-NobodyPoops,0.0211,2.75,"594,678"
Main-BattleCry,0.0210,2.88,"217,448"
Main-AbsentMindedProfessor,0.0210,2.97,"246,270"
Main-DontTryThisAtHome,0.0209,2.99,"271,581"
Main-TheEeyore,0.0209,2.91,"239,155"
Main-NWordPrivileges,0.0208,2.95,"324,882"
Main-RightBehindMe,0.0206,2.89,"395,954"
Main-SarcasticConfession,0.0202,2.87,"311,190"
Main-FrothyMugsOfWater,0.0201,2.80,"365,347"
Main-GogglesDoNothing,0.0200,2.95,"166,503"
Main-GratuitousForeignLanguage,0.0197,2.87,"365,355"
Main-FinaglesLaw,0.0195,3.17,"106,603"
Main-TheNicknamer,0.0194,2.71,"509,579"
Main-SkywardScream,0.0194,2.94,"167,829"
Main-INeedAFreakingDrink,0.0193,2.89,"242,917"
Main-InSovietRussiaTropeMocksYou,0.0193,2.96,"237,889"
Main-VomitIndiscretionShot,0.0193,2.79,"495,718"
Main-CountryMatters,0.0193,2.98,"200,842"
Main-SeinfeldianConversation,0.0190,2.95,"224,047"
Main-EvilForeigner,0.0190,3.02,"197,022"
Main-StevenUlyssesPerhero,0.0190,2.82,"215,883"
Main-NumberOfTheBeast,0.0189,2.89,"236,594"
Main-NewAgeRetroHippie,0.0188,2.99,"230,372"
Main-RhymesOnADime,0.0188,2.85,"362,405"
Main-SmartPeoplePlayChess,0.0186,2.90,"220,965"
Main-PardonMyKlingon,0.0186,2.90,"195,447"
Main-LongList,0.0185,2.76,"513,685"
Main-PrivateDetective,0.0184,2.91,"408,635"
Main-LouisCypher,0.0184,3.02,"83,587"
Main-OopNorth,0.0184,2.95,"575,385"
Main-AnalogyBackfire,0.0182,2.87,"310,586"
Main-YouFightLikeACow,0.0180,2.89,"134,797"
Main-TheInternetIsForPorn,0.0179,3.00,"226,002"
Main-BrutalHonesty,0.0178,3.01,"175,872"
Main-OverusedRunningGag,0.0178,3.06,"91,458"
Main-ThePasswordIsAlwaysSwordfish,0.0177,2.82,"388,558"
Main-NoSenseOfDirection,0.0177,3.02,"100,549"
Main-DisasterDominoes,0.0176,2.96,"187,970"
Main-TwoWordsObviousTrope,0.0176,3.03,"70,696"
Main-WhosOnFirst,0.0176,2.90,"297,368"
Main-PoliticalCorrectnessGoneMad,0.0176,2.92,"254,685"
Main-OrphanedPunchline,0.0175,2.87,"299,808"
Main-YouNoTakeCandle,0.0175,2.88,"324,292"
Main-ExpospeakGag,0.0175,2.93,"133,467"
Main-GentlemanAdventurer,0.0174,2.96,"152,125"
Main-ASimplePlan,0.0173,3.05,"162,570"
Main-Calvinball,0.0173,2.89,"316,720"
Main-CutHisHeartOutWithASpoon,0.0173,2.83,"261,869"
Main-GrumpyOldMan,0.0173,3.04,"102,790"
Main-SweetTooth,0.0173,2.94,"154,724"
Main-DidIJustSayThatOutLoud,0.0172,2.92,"113,383"
Main-ThatMakesMeFeelAngry,0.0172,2.86,"186,865"
Main-HamToHamCombat,0.0171,2.90,"173,480"
Main-SomethingOnlyTheyWouldSay,0.0171,2.92,"129,727"
Main-GargleBlaster,0.0171,2.89,"264,021"
Main-FirstPersonSmartass,0.0171,3.05,"183,952"
Main-InnerMonologue,0.0171,3.04,"101,988"
Main-HilariouslyAbusiveChildhood,0.0171,2.95,"141,579"
Main-Cloudcuckooland,0.0171,2.85,"428,195"
Main-VictimOfTheWeek,0.0169,3.08,"106,227"
Main-FoodPorn,0.0169,2.92,"289,465"
Main-ConversationalTroping,0.0168,2.98,"212,704"
Main-PassThePopcorn,0.0168,2.90,"215,512"
Main-NoSenseOfHumor,0.0168,3.04,"71,135"
Main-PunctuatedForEmphasis,0.0167,2.68,"655,681"
Main-EverythingSoundsSexierInFrench,0.0167,2.96,"262,902"
Main-SpeakingSimlish,0.0167,3.01,"162,562"
Main-VomitDiscretionShot,0.0166,3.04,"116,402"
Main-IAteWhat,0.0166,2.90,"324,120"
Main-SuddenlyVoiced,0.0166,2.94,"173,423"
Main-SpotOfTea,0.0165,2.91,"233,646"
Main-YouDoNOTWantToKnow,0.0164,2.93,"90,623"
Main-TheUnpronounceable,0.0164,2.89,"291,992"
Main-FailOSuckyname,0.0161,2.86,"211,549"
Main-LateToThePunchline,0.0161,3.09,"41,877"
Main-InherentlyFunnyWords,0.0161,2.78,"435,477"
Main-PokemonSpeak,0.0160,2.95,"159,052"
Main-ScrewySquirrel,0.0160,2.97,"168,139"
Main-SpaceJews,0.0160,3.05,"94,550"
Main-ServileSnarker,0.0160,3.02,"138,024"
Main-PrepareToDie,0.0159,3.05,"74,623"
Main-CookingDuel,0.0159,2.88,"276,520"
Main-LatexPerfection,0.0158,2.94,"143,725"
Main-LastSecondWordSwap,0.0158,2.91,"172,343"
Main-OhMyGods,0.0158,2.76,"301,180"
Main-BalloonBelly,0.0158,2.92,"199,485"
Main-SpockSpeak,0.0157,2.97,"86,654"
Main-IntoxicationEnsues,0.0156,2.90,"223,990"
Main-LampshadedDoubleEntendre,0.0155,2.97,"90,698"
Main-StealthInsult,0.0155,2.96,"132,719"
Main-IAlwaysWantedToSayThat,0.0155,2.96,"125,537"
Main-OddNameOut,0.0154,2.86,"231,193"
Main-SeenItAll,0.0154,3.01,"63,302"
Main-GallowsHumor,0.0153,2.95,"122,162"
Main-ImplausibleDeniability,0.0152,2.97,"137,445"
Main-BadassSpaniard,0.0152,2.91,"173,971"
Main-CanisLatinicus,0.0151,2.89,"168,459"
Main-ActuallyPrettyFunny,0.0151,2.95,"222,066"
Main-SpotTheImposter,0.0151,2.84,"190,658"
Main-PerfectlyCromulentWord,0.0151,3.01,"99,151"
Main-IronButtmonkey,0.0151,2.93,"122,354"
Main-MathematiciansAnswer,0.0150,2.98,"185,358"
Main-HoldYourHippogriffs,0.0149,2.98,"110,582"
Main-CrazyEnoughToWork,0.0149,2.94,"103,840"
Main-LineOfSightName,0.0148,2.91,"300,972"
Main-Baka,0.0148,3.48,"14,855"
Main-ForeignQueasine,0.0148,2.97,"188,320"
Main-WeNeedADistraction,0.0148,2.94,"191,700"
Main-AmbiguouslyJewish,0.0146,2.97,"179,230"
Main-TheMagnificent,0.0146,2.92,"87,772"
Main-TheCuckoolanderWasRight,0.0146,2.90,"137,353"
Main-SherlockScan,0.0145,2.96,"140,144"
Main-DumbassHasAPoint,0.0145,2.96,"85,725"
Main-NotNowKiddo,0.0144,3.00,"75,791"
Main-DrunkenMaster,0.0144,2.97,"99,268"
Main-SeenItAMillionTimes,0.0144,3.30,"75,433"
Main-SpeciesSurname,0.0143,2.97,"124,225"
Main-DescriptionCut,0.0143,2.98,"98,720"
Main-MustHaveCaffeine,0.0143,2.90,"258,621"
Main-CheeseEatingSurrenderMonkeys,0.0142,2.97,"108,275"
Main-TheScottishTrope,0.0141,2.77,"224,346"
Main-ObfuscatingDisability,0.0141,3.02,"186,873"
Main-SincerityMode,0.0141,3.76,"1,283"
Main-TheFunInFuneral,0.0140,2.91,"244,359"
Main-SymbolSwearing,0.0139,3.00,"165,944"
Main-MyHovercraftIsFullOfEels,0.0139,2.93,"201,254"
Main-AltumVidetur,0.0139,2.93,"152,441"
Main-IsThatWhatTheyreCallingItNow,0.0139,2.93,"121,467"
Main-StockScream,0.0139,2.91,"169,997"
Main-SurprisinglyGoodEnglish,0.0138,2.96,"115,861"
Main-VisibleSilence,0.0138,2.96,"137,525"
Main-Tradesnark,0.0137,2.86,"216,337"
Main-InexplicablyIdenticalIndividuals,0.0136,2.95,"176,203"
Main-FlippingTheBird,0.0136,2.76,"379,563"
Main-GrammarNazi,0.0136,3.11,"173,780"
Main-IronicEchoCut,0.0136,2.95,"85,228"
Main-IceCreamKoan,0.0135,2.95,"190,875"
Main-TooDumbToFool,0.0135,2.99,"58,893"
Main-WhatDidIDoLastNight,0.0135,2.91,"232,809"
Main-NoPronunciationGuide,0.0134,2.89,"200,799"
Main-JustAStupidAccent,0.0133,2.90,"212,658"
Main-HiddenInPlainSight,0.0133,3.04,"131,185"
Main-MostDefinitelyNotAVillain,0.0132,2.91,"93,666"
Main-BaitAndSwitch,0.0130,3.10,"50,526"
Main-CasualDangerDialog,0.0130,2.89,"159,497"
Main-MakesJustAsMuchSenseInContext,0.0130,3.21,"36,573"
Main-TheNotSecret,0.0129,2.98,"99,587"
Main-MeaningfulRename,0.0129,2.93,"177,876"
Main-SureLetsGoWithThat,0.0129,2.98,"47,334"
Main-WhoNamesTheirKidDude,0.0128,3.03,"138,292"
Main-ToiletHumour,0.0128,2.90,"182,411"
Main-TheWonka,0.0128,3.07,"51,056"
Main-RecklessGunUsage,0.0127,3.03,"114,273"
Main-AllPsychologyIsFreudian,0.0127,2.98,"105,293"
Main-StrangeSyntaxSpeaker,0.0127,3.03,"55,172"
Main-YouMeanXmas,0.0127,2.80,"205,165"
Main-IronicNickname,0.0126,2.85,"209,781"
Main-NeverHeardThatOneBefore,0.0126,2.95,"121,510"
Main-BoldInflation,0.0126,2.84,"280,959"
Main-TheCakeIsALie,0.0126,2.97,"91,864"
Main-BeleagueredAssistant,0.0125,2.87,"253,320"
Main-ChekhovsLecture,0.0125,3.02,"79,423"
Main-Portmanteau,0.0125,3.06,"132,119"
Main-BadLiar,0.0125,2.96,"132,396"
Main-NonSequiturThud,0.0125,2.94,"132,946"
Main-FutureSlang,0.0124,2.94,"130,646"
Main-BurgerFool,0.0123,2.92,"175,738"
Main-DrinkingGame,0.0123,3.05,"113,073"
Main-LiteralMetaphor,0.0123,2.99,"100,582"
Main-DropInCharacter,0.0123,2.98,"143,047"
Main-TheHyena,0.0122,2.98,"55,878"
Main-GoodGuyBar,0.0122,3.03,"106,449"
Main-MyNaymeIs,0.0122,2.92,"287,477"
Main-HuskyRusskie,0.0122,2.98,"61,461"
Main-BusmansHoliday,0.0122,2.89,"186,274"
Main-DiggingYourselfDeeper,0.0121,3.01,"81,048"
Main-StupidStatementDanceMix,0.0121,2.94,"212,091"
Main-Slapstick,0.0121,3.08,"130,790"
Main-SurferDude,0.0121,2.94,"264,605"
Main-CantHoldHisLiquor,0.0121,2.98,"99,486"
Main-CheshireCatGrin,0.0121,2.92,"93,316"
Main-EscalatingWar,0.0121,3.03,"116,367"
Main-DialogueTree,0.0121,2.99,"208,230"
Main-KnowNothingKnowItAll,0.0121,3.01,"86,703"
Main-PunctuationShaker,0.0120,2.80,"176,491"
Main-LockedInAFreezer,0.0120,2.93,"106,332"
Main-HighClassGlass,0.0120,2.95,"146,246"
Main-Omniglot,0.0120,2.90,"98,413"
Main-CanNotTellALie,0.0119,3.00,"64,483"
Main-NationalStereotypes,0.0119,2.91,"381,028"
Main-SpySpeak,0.0119,2.97,"112,143"
Main-InTheHood,0.0118,2.81,"191,649"
Main-FaceFault,0.0118,3.06,"42,342"
Main-GRatedSex,0.0118,2.99,"122,653"
Main-ParodiedTrope,0.0118,3.18,"31,193"
Main-GreatEscape,0.0118,3.09,"80,601"
Main-ExpansionPackPast,0.0117,2.98,"47,635"
Main-SpeakOfTheDevil,0.0117,2.95,"95,399"
Main-NonSequitur,0.0117,3.26,"85,358"
Main-ChessMotifs,0.0117,2.87,"149,360"
Main-Oireland,0.0116,2.83,"333,890"
Main-HesDeadJim,0.0115,2.96,"69,372"
Main-FrenchJerk,0.0115,2.91,"243,687"
Main-YouAllMeetInAnInn,0.0114,3.01,"111,944"
Main-ThemeTwinNaming,0.0114,2.90,"165,115"
Main-SomethingTheyWouldNeverSay,0.0114,2.92,"85,433"
Main-AnvilOnHead,0.0114,2.99,"132,173"
Main-FullNameBasis,0.0113,2.94,"95,355"
Main-YiddishAsASecondLanguage,0.0112,3.09,"104,607"
Main-MaskedLuchador,0.0112,3.02,"45,278"
Main-HehHehYouSaidX,0.0112,3.02,"27,215"
Main-YouHaveToBelieveMe,0.0111,2.93,"102,470"
Main-AlienLunch,0.0111,3.01,"67,374"
Main-DoNotCallMePaul,0.0110,2.92,"127,019"
Main-YouMeddlingKids,0.0110,3.11,"34,322"
Main-BigBallOfViolence,0.0110,2.93,"117,357"
Main-KentBrockmanNews,0.0110,2.86,"220,395"
Main-MediaWatchdog,0.0109,3.03,"46,368"
Main-BumblingSidekick,0.0109,3.06,"40,068"
Main-EverythingsBetterWithChickens,0.0109,2.91,"184,388"
Main-AliceAndBob,0.0109,3.02,"496,091"
Main-QuipToBlack,0.0108,3.04,"41,033"
Main-JawDrop,0.0108,2.99,"46,843"
Main-HyperAwareness,0.0107,2.96,"56,053"
Main-WearingAFlagOnYourHead,0.0107,2.85,"191,818"
Main-CityOfWeirdos,0.0107,2.95,"77,599"
Main-QuintessentialBritishGentleman,0.0106,3.00,"68,306"
Main-BluntMetaphorsTrauma,0.0106,3.00,"66,975"
Main-TheButlerDidIt,0.0106,3.03,"58,923"
Main-CringeComedy,0.0106,3.14,"66,388"
Main-MilkingTheGiantCow,0.0106,3.02,"67,607"
Main-CutHimselfShaving,0.0106,2.91,"205,974"
Main-GlassesPull,0.0105,3.02,"34,248"
Main-EverythingsWorseWithBees,0.0105,2.95,"133,073"
Main-CunningLinguist,0.0105,2.97,"66,447"
Main-ICantBelieveItsNotHeroin,0.0105,2.95,"107,480"
Main-SurrealHumor,0.0104,2.97,"184,302"
Main-RoboSpeak,0.0104,2.97,"115,460"
Main-ExpressiveMask,0.0104,2.97,"78,450"
Main-OffTheWagon,0.0104,3.13,"68,266"
Main-LookBehindYou,0.0104,2.82,"253,848"
Main-AmateurSleuth,0.0104,2.94,"257,721"
Main-CombatCommentator,0.0103,2.92,"87,034"
Main-DoubleTake,0.0103,3.05,"46,952"
Main-StiffUpperLip,0.0103,2.92,"219,787"
Main-StepThreeProfit,0.0103,2.99,"77,337"
Main-PottyEmergency,0.0103,3.00,"111,316"
Main-FascinatingEyebrow,0.0103,3.01,"51,015"
Main-ForeignCussWord,0.0102,2.99,"94,427"
Main-IResembleThatRemark,0.0102,2.97,"97,409"
Main-ItsALongStory,0.0102,3.11,"18,992"
Main-WhoWouldBeStupidEnough,0.0102,2.95,"55,182"
Main-EverythingsBetterWithBob,0.0102,2.94,"123,703"
Main-BlahBlahBlah,0.0102,2.80,"171,901"
Main-LetsMeetTheMeat,0.0101,2.83,"227,269"
Main-Badbutt,0.0101,3.02,"38,351"
Main-WartimeCartoon,0.0101,3.13,"74,220"
Main-UrineTrouble,0.0101,2.93,"139,777"
Main-NeverSayThatAgain,0.0101,2.90,"66,122"
Main-BilingualDialogue,0.0101,2.94,"168,033"
Main-TheTapeKnewYouWouldSayThat,0.0101,2.94,"210,934"
Main-WildTeenParty,0.0101,3.01,"157,213"
Main-YouAreGrounded,0.0101,3.10,"22,865"
Main-WrittenSoundEffect,0.0100,2.95,"208,455"
Main-CanYouHearMeNow,0.0100,2.90,"106,567"
Main-LockedInARoom,0.0100,2.98,"106,354"
Main-GangOfHats,0.0100,2.98,"60,245"
Main-RelaxOVision,0.0100,2.93,"196,635"
Main-BlankWhiteEyes,0.0100,3.02,"53,588"
Main-CaffeineBulletTime,0.0100,3.02,"92,557"
Main-CatchphraseInterruptus,0.0100,2.99,"49,219"
Main-ScreamingBirth,0.0100,3.05,"132,738"
Main-TheJeeves,0.0100,2.99,"93,668"
Main-WhyDoYouKeepChangingJobs,0.0099,2.95,"129,654"
Main-LeetLingo,0.0099,3.09,"45,813"
Main-LockedRoomMystery,0.0099,3.10,"58,455"
Main-GoodBadTranslation,0.0099,3.02,"77,559"
Main-SarcasmFailure,0.0098,2.92,"85,807"
Main-TranslationTrainWreck,0.0098,3.06,"49,220"
Main-ScoobyDoobyDoors,0.0098,3.05,"104,514"
Main-LukeNounverber,0.0097,2.98,"110,615"
Main-ParrotExposition,0.0097,2.86,"105,026"
Main-AreYouPonderingWhatImPondering,0.0097,3.01,"53,637"
Main-ElmuhFuddSyndwome,0.0097,2.91,"195,352"
Main-YourCostumeNeedsWork,0.0097,2.92,"102,235"
