Label,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality
Main-LotusEaterMachine,0.0644,2.82,"702,104"
Main-ForScience,0.0636,2.83,"756,007"
Main-CuteMonsterGirl,0.0630,2.77,"1,112,691"
Main-Precursors,0.0627,2.92,"470,824"
Main-ParanoiaFuel,0.0625,2.72,"1,751,809"
Main-OurDemonsAreDifferent,0.0624,2.85,"699,387"
Main-WhoWantsToLiveForever,0.0623,2.78,"1,141,156"
Main-HumanPopsicle,0.0623,2.84,"1,056,313"
Main-PettingZooPeople,0.0618,3.00,"702,875"
Main-OurAngelsAreDifferent,0.0613,2.79,"1,211,591"
Main-RidiculouslyCuteCritter,0.0612,2.83,"1,118,828"
Main-TheCorruption,0.0612,2.93,"361,386"
Main-AttackOfThe50FootWhatever,0.0605,2.81,"1,220,026"
Main-GreenRocks,0.0604,2.98,"264,551"
Main-CameBackWrong,0.0598,2.94,"450,860"
Main-FriendToAllLivingThings,0.0597,2.92,"560,987"
Main-RobotBuddy,0.0597,2.77,"1,060,132"
Main-ScienceFiction,0.0590,3.10,"2,294,184"
Main-EverythingsWorseWithBears,0.0590,2.75,"1,610,459"
Main-AlienInvasion,0.0588,2.86,"837,842"
Main-LastOfHisKind,0.0588,2.87,"782,019"
Main-OurZombiesAreDifferent,0.0586,2.70,"2,394,178"
Main-TomatoInTheMirror,0.0580,2.80,"1,042,237"
Main-EverythingsBetterWithMonkeys,0.0579,2.75,"1,620,126"
Main-HumanAliens,0.0575,2.90,"584,410"
Main-BalefulPolymorph,0.0575,2.84,"977,468"
Main-Masquerade,0.0573,2.84,"936,518"
Main-ClapYourHandsIfYouBelieve,0.0568,2.82,"834,532"
Main-WeaksauceWeakness,0.0567,2.75,"1,131,414"
Main-BlackMagic,0.0567,2.91,"357,707"
Main-EyepatchOfPower,0.0560,2.79,"815,987"
Main-FantasyKitchenSink,0.0558,2.71,"1,264,235"
Main-WhyDidItHaveToBeSnakes,0.0555,2.62,"2,499,054"
Main-GlowingEyesOfDoom,0.0552,2.81,"601,874"
Main-PoweredByAForsakenChild,0.0545,2.81,"701,146"
Main-TheHeartless,0.0545,2.90,"390,298"
Main-SufficientlyAdvancedAlien,0.0536,2.92,"352,034"
Main-BrownNote,0.0536,2.73,"1,274,807"
Main-LostTechnology,0.0532,2.94,"366,429"
Main-RidiculouslyHumanRobots,0.0531,2.83,"914,250"
Main-Muggles,0.0530,2.98,"234,017"
Main-BizarreAlienBiology,0.0529,3.02,"513,876"
Main-ReptilesAreAbhorrent,0.0524,2.76,"1,452,003"
Main-BigBadassWolf,0.0517,2.86,"713,058"
Main-BroughtDownToNormal,0.0514,2.85,"438,765"
Main-NewPowersAsThePlotDemands,0.0514,2.79,"679,593"
Main-Immortality,0.0509,2.77,"1,097,796"
Main-PowerIncontinence,0.0498,2.85,"613,141"
Main-CatsAreMean,0.0491,2.73,"1,777,606"
Main-StarfishAliens,0.0487,2.83,"784,847"
Main-PsychoSerum,0.0482,2.93,"307,418"
Main-SuperheroSchool,0.0476,2.98,"421,450"
Main-OurGhostsAreDifferent,0.0474,2.83,"907,437"
Main-HumanoidAbomination,0.0471,2.80,"929,900"
Main-NonHumanSidekick,0.0471,2.89,"683,126"
Main-MagicAIsMagicA,0.0468,2.88,"458,145"
Main-SoulJar,0.0464,2.91,"370,854"
Main-UnusuallyUninterestingSight,0.0464,2.79,"836,581"
Main-OurOrcsAreDifferent,0.0462,2.91,"388,017"
Main-NegativeSpaceWedgie,0.0458,2.99,"317,937"
Main-FlyingBrick,0.0445,2.92,"303,635"
Main-SuperpowerLottery,0.0438,2.79,"447,130"
Main-WingedHumanoid,0.0433,2.88,"572,996"
Main-AllMythsAreTrue,0.0432,2.82,"624,943"
Main-ScienceMarchesOn,0.0432,2.83,"1,047,421"
Main-PowersThatBe,0.0429,3.02,"150,652"
Main-TheUndead,0.0428,3.12,"146,242"
Main-GiantSpider,0.0425,2.86,"666,137"
Main-GeniusLoci,0.0423,2.80,"786,158"
Main-FusionDance,0.0422,2.87,"390,048"
Main-EyeBeams,0.0422,2.74,"705,808"
Main-DeathWorld,0.0420,2.88,"431,457"
Main-Kaiju,0.0416,2.91,"470,951"
Main-EasyAmnesia,0.0410,2.88,"451,653"
Main-CombatTentacles,0.0410,2.89,"441,940"
Main-RedRightHand,0.0406,2.82,"446,293"
Main-LizardFolk,0.0399,2.96,"306,462"
Main-Nanomachines,0.0395,2.87,"468,330"
Main-PowerPerversionPotential,0.0394,2.82,"511,944"
Main-AntiMagic,0.0394,2.89,"598,258"
Main-TurnedAgainstTheirMasters,0.0393,2.88,"322,243"
Main-MixAndMatchCritters,0.0393,2.86,"594,930"
Main-BrainInAJar,0.0393,2.91,"354,688"
Main-TeleportersAndTransporters,0.0392,2.86,"469,812"
Main-WeirdnessMagnet,0.0390,2.83,"657,963"
Main-FluffyTheTerrible,0.0389,2.79,"648,978"
Main-EverythingsBetterWithDinosaurs,0.0388,2.87,"1,197,024"
Main-HordeOfAlienLocusts,0.0384,2.88,"314,198"
Main-NothingIsScarier,0.0382,2.82,"1,151,912"
Main-OurDwarvesAreAllTheSame,0.0382,2.90,"448,595"
Main-HatePlague,0.0380,2.92,"269,126"
Main-ExtremeOmnivore,0.0380,2.81,"695,797"
Main-FasterThanLightTravel,0.0379,2.91,"445,753"
Main-DemBones,0.0379,2.87,"649,069"
Main-MindOverMatter,0.0376,2.91,"354,269"
Main-Mordor,0.0374,2.86,"464,585"
Main-HalloweenEpisode,0.0372,2.86,"652,631"
Main-CityOfAdventure,0.0371,2.83,"598,390"
Main-ILoveNuclearPower,0.0367,2.95,"244,964"
Main-OurSoulsAreDifferent,0.0362,2.94,"297,806"
Main-EvilEye,0.0361,2.97,"324,778"
Main-ShapeShifting,0.0359,3.08,"557,592"
Main-HealingHands,0.0359,2.93,"327,003"
Main-Reincarnation,0.0358,2.90,"415,023"
Main-ArtificialLimbs,0.0357,2.82,"507,200"
Main-EvilutionaryBiologist,0.0355,2.93,"204,402"
Main-WeirdnessCensor,0.0353,2.87,"480,296"
Main-YourMindMakesItReal,0.0353,2.85,"491,487"
Main-BodySurf,0.0352,2.93,"355,886"
Main-CyberneticsEatYourSoul,0.0351,2.85,"319,900"
Main-DeadAllAlong,0.0351,2.80,"687,403"
Main-BigCreepyCrawlies,0.0350,2.95,"374,914"
Main-LifeEnergy,0.0350,2.98,"176,218"
Main-FrankensteinsMonster,0.0348,2.91,"364,372"
Main-TomeOfEldritchLore,0.0348,2.88,"326,972"
Main-ScifiWritersHaveNoSenseOfScale,0.0347,2.75,"620,762"
Main-NoOntologicalInertia,0.0347,2.86,"385,247"
Main-ApocalypticLog,0.0345,2.82,"772,696"
Main-RestrainingBolt,0.0341,2.91,"208,483"
Main-WeaponOfMassDestruction,0.0340,2.97,"170,880"
Main-CallARabbitASmeerp,0.0337,2.93,"394,167"
Main-SpacePirates,0.0336,2.91,"423,607"
Main-SuperSerum,0.0335,2.99,"184,177"
Main-TransformationTrinket,0.0329,2.95,"374,920"
Main-RubberForeheadAliens,0.0327,2.84,"309,410"
Main-EvolutionaryLevels,0.0327,2.89,"276,897"
Main-TheProfessor,0.0326,3.01,"209,862"
Main-BiologicalMashUp,0.0326,2.99,"108,662"
Main-CosmicHorrorStory,0.0325,2.87,"451,620"
Main-Hell,0.0324,2.97,"204,570"
Main-HumanResources,0.0324,2.95,"277,583"
Main-PuppeteerParasite,0.0323,2.88,"321,994"
Main-ScienceIsBad,0.0321,2.81,"418,497"
Main-AllTrollsAreDifferent,0.0320,2.89,"423,219"
Main-EverythingsBetterWithPenguins,0.0319,2.80,"898,463"
Main-TheEmpath,0.0319,2.78,"450,120"
Main-JourneyToTheCenterOfTheMind,0.0319,2.77,"491,681"
Main-NightmareFetishist,0.0319,2.85,"470,242"
Main-HumansAreSpecial,0.0319,2.88,"279,206"
Main-Cyborg,0.0318,2.88,"410,099"
Main-Youkai,0.0316,2.94,"343,372"
Main-LightningCanDoAnything,0.0315,2.88,"474,487"
Main-RoomFullOfCrazy,0.0315,2.87,"472,779"
Main-MasterOfIllusion,0.0314,2.95,"219,983"
Main-MadArtist,0.0312,2.87,"437,511"
Main-TrappedInAnotherWorld,0.0310,2.92,"730,882"
Main-EldritchLocation,0.0310,2.82,"690,716"
Main-AlienGeometries,0.0310,2.89,"477,781"
Main-EyesOfGold,0.0309,2.82,"463,100"
Main-HeroicWillpower,0.0308,2.93,"127,641"
Main-BloodMagic,0.0308,2.94,"212,292"
Main-GreenThumb,0.0307,3.01,"150,812"
Main-HiddenElfVillage,0.0305,2.95,"212,718"
Main-RobotWar,0.0302,2.97,"261,879"
Main-SpiritAdvisor,0.0301,2.97,"282,632"
Main-ReedRichardsIsUseless,0.0298,2.84,"342,184"
Main-TownWithADarkSecret,0.0298,2.92,"457,297"
Main-DarkWorld,0.0297,3.01,"209,694"
Main-Cyberspace,0.0294,2.97,"264,965"
Main-OneGenderRace,0.0292,2.94,"286,736"
Main-AncientAstronauts,0.0291,2.94,"312,899"
Main-FishPeople,0.0291,2.88,"484,036"
Main-KillerRobot,0.0290,3.34,"18,425"
Main-EnergyBeings,0.0287,2.95,"181,897"
Main-BeethovenWasAnAlienSpy,0.0285,2.83,"534,456"
Main-GreenLanternRing,0.0284,2.87,"223,629"
Main-PeoplePuppets,0.0281,2.91,"209,593"
Main-OmnidisciplinaryScientist,0.0279,2.84,"320,409"
Main-Animorphism,0.0279,2.92,"326,127"
Main-PersonalityPowers,0.0277,2.81,"278,624"
Main-ArbitrarySkepticism,0.0277,2.78,"499,253"
Main-WhatMeasureisANonCute,0.0273,2.78,"596,350"
Main-Unobtainium,0.0272,2.88,"261,061"
Main-YearInsideHourOutside,0.0271,2.93,"378,019"
Main-Telepathy,0.0271,2.80,"450,678"
Main-CompellingVoice,0.0270,2.94,"182,274"
Main-Golem,0.0269,2.95,"236,361"
Main-AnimalMotifs,0.0268,2.86,"568,808"
Main-LivingShadow,0.0268,2.90,"263,731"
Main-MaybeMagicMaybeMundane,0.0265,2.93,"431,199"
Main-MedievalStasis,0.0265,2.88,"305,675"
Main-MismatchedEyes,0.0264,2.86,"449,451"
Main-MagicalNativeAmerican,0.0264,2.93,"343,757"
Main-GeneticEngineeringIsTheNewNuke,0.0264,2.99,"102,159"
Main-FriendlyNeighborhoodVampire,0.0263,2.86,"442,152"
Main-LegoGenetics,0.0262,2.98,"184,284"
Main-SuperPowerMeltdown,0.0262,2.99,"85,750"
Main-WolfMan,0.0262,3.01,"114,251"
Main-FakeMemories,0.0262,2.94,"121,526"
Main-KryptoniteFactor,0.0262,2.95,"162,775"
Main-MagicMusic,0.0261,2.80,"486,193"
Main-RequiredSecondaryPowers,0.0260,2.74,"380,041"
Main-VoiceOfTheLegion,0.0259,2.83,"265,960"
Main-BattleInTheCenterOfTheMind,0.0259,2.87,"219,446"
Main-OrganicTechnology,0.0258,2.96,"183,057"
Main-ImportedAlienPhlebotinum,0.0258,3.02,"184,957"
Main-BrainUploading,0.0257,2.83,"402,645"
Main-CarnivoreConfusion,0.0255,2.84,"538,942"
Main-EmptyShell,0.0254,2.95,"125,281"
Main-MineralMacGuffin,0.0254,2.95,"185,431"
Main-EverythingsEvenWorseWithSharks,0.0253,2.82,"652,087"
Main-MesACrowd,0.0252,2.88,"287,670"
Main-InstantExpert,0.0251,2.85,"253,395"
Main-ABoyAndHisX,0.0251,2.86,"655,455"
Main-NotUsingTheZWord,0.0249,2.84,"454,911"
Main-BugWar,0.0248,2.97,"175,446"
Main-FireAndBrimstoneHell,0.0244,2.91,"272,891"
Main-CoolHorse,0.0244,2.93,"388,447"
Main-WickedWitch,0.0243,2.98,"192,157"
Main-TouchedByVorlons,0.0243,2.93,"130,577"
Main-WhenTreesAttack,0.0242,2.90,"381,947"
Main-TheIgor,0.0241,2.97,"187,276"
Main-FaceFullOfAlienWingWong,0.0241,2.96,"149,130"
Main-WitchSpecies,0.0241,2.93,"237,406"
Main-UnfazedEveryman,0.0239,2.97,"157,042"
Main-LosingYourHead,0.0238,2.79,"565,807"
Main-HyperspaceIsAScaryPlace,0.0238,2.93,"162,716"
Main-InvisibleToNormals,0.0238,3.01,"149,601"
Main-PortalNetwork,0.0238,2.94,"251,451"
Main-BatmanCanBreatheInSpace,0.0237,2.85,"271,655"
Main-AbusivePrecursors,0.0236,2.98,"114,546"
Main-UglyCute,0.0236,2.78,"517,639"
Main-TheForce,0.0236,2.99,"120,985"
Main-NoPlansNoPrototypeNoBackup,0.0235,2.90,"191,212"
Main-Atlantis,0.0235,2.83,"440,024"
Main-YouWillBeAssimilated,0.0233,2.98,"98,058"
Main-GiantFlyer,0.0233,2.91,"265,037"
Main-PunyEarthlings,0.0232,2.89,"227,060"
Main-MadDoctor,0.0232,2.97,"143,593"
Main-PeopleJars,0.0232,2.90,"193,028"
Main-GlamourFailure,0.0232,2.88,"319,073"
Main-FurryConfusion,0.0232,2.88,"461,958"
Main-BlobMonster,0.0231,2.86,"416,027"
Main-TheBlank,0.0231,2.90,"382,775"
Main-FreakLabAccident,0.0230,2.89,"204,289"
Main-Invisibility,0.0230,2.78,"605,103"
Main-MagicFromTechnology,0.0229,2.95,"167,327"
Main-MisterSeahorse,0.0229,2.78,"585,069"
Main-SingleBiomePlanet,0.0229,2.96,"241,485"
Main-Shinigami,0.0228,3.14,"62,928"
Main-MindControlEyes,0.0228,2.94,"106,730"
Main-OurMermaidsAreDifferent,0.0227,2.88,"359,106"
Main-Mutants,0.0226,2.98,"184,176"
Main-Flight,0.0226,2.98,"134,370"
Main-TimeAbyss,0.0224,2.87,"267,989"
Main-PlayingWithSyringes,0.0223,2.89,"209,832"
Main-HorrorHunger,0.0223,2.87,"295,747"
Main-LamarckWasRight,0.0221,2.91,"125,690"
Main-FlatEarthAtheist,0.0221,2.86,"240,267"
Main-WeCanRebuildHim,0.0221,2.92,"148,480"
Main-CircusOfFear,0.0220,2.90,"450,659"
Main-NonMammalMammaries,0.0220,2.82,"2,016,408"
Main-MagicalLand,0.0220,3.11,"181,541"
Main-ScarsAreForever,0.0220,2.84,"297,223"
Main-MultiArmedAndDangerous,0.0219,2.93,"145,827"
Main-BornLucky,0.0218,2.91,"242,752"
Main-TranslatorMicrobes,0.0217,2.93,"313,579"
Main-CuteLittleFangs,0.0216,2.93,"195,087"
Main-Sourcebook,0.0215,3.38,"27,651"
Main-MisplacedWildlife,0.0215,2.87,"498,930"
Main-SuperSenses,0.0214,3.00,"147,577"
Main-AFormYouAreComfortableWith,0.0214,2.84,"303,483"
Main-Mayincatec,0.0214,2.95,"297,824"
Main-PlanetEater,0.0214,3.04,"60,991"
Main-FantasticAesop,0.0213,2.88,"206,323"
Main-MegaNeko,0.0211,3.00,"117,411"
Main-RubberMan,0.0211,3.05,"73,190"
Main-SadlyMythtaken,0.0211,2.85,"231,098"
Main-DoingInTheWizard,0.0210,2.91,"195,259"
Main-EmergencyTransformation,0.0210,2.82,"288,628"
Main-EmotionEater,0.0210,2.91,"174,792"
Main-BuriedAlive,0.0209,2.88,"288,651"
Main-ThePlague,0.0208,2.97,"275,201"
Main-PlayfulHacker,0.0207,3.06,"101,302"
Main-DreamingOfThingsToCome,0.0207,2.96,"259,677"
Main-SpaceWhale,0.0207,2.94,"140,267"
Main-MasterComputer,0.0207,3.02,"94,855"
Main-StockSuperpowers,0.0207,3.08,"235,029"
Main-HalfDressedCartoonAnimal,0.0206,2.91,"362,013"
Main-HotSkittyOnWailordAction,0.0206,2.90,"344,933"
Main-BedlamHouse,0.0205,2.93,"324,355"
Main-GaiasVengeance,0.0205,2.90,"211,132"
Main-CuteGhostGirl,0.0205,3.05,"169,311"
Main-CreepyDoll,0.0205,2.92,"400,298"
Main-GodGuise,0.0204,2.89,"257,895"
Main-ScareChord,0.0203,2.85,"377,451"
Main-MagicPants,0.0203,2.82,"375,865"
Main-FantasticDrug,0.0200,2.89,"210,765"
Main-ThroughTheEyesOfMadness,0.0200,2.96,"318,003"
Main-IncredibleShrinkingMan,0.0199,2.96,"180,629"
Main-WizardingSchool,0.0199,3.02,"266,816"
Main-SapientShip,0.0199,3.04,"94,052"
Main-AmplifierArtifact,0.0199,2.86,"199,456"
Main-EverythingsDeaderWithZombies,0.0198,2.89,"244,743"
Main-CoolGate,0.0198,2.92,"196,655"
Main-IntangibleMan,0.0198,2.98,"96,043"
Main-ManEatingPlant,0.0198,2.95,"191,662"
Main-TyrannosaurusRex,0.0197,2.91,"325,945"
Main-ClingyMacGuffin,0.0197,2.93,"169,583"
Main-Spelljammer,0.0197,2.98,"107,256"
Main-PhlebotinumRebel,0.0197,2.91,"125,133"
Main-RightHandCat,0.0197,2.88,"205,060"
Main-BambooTechnology,0.0196,2.99,"212,283"
Main-BeneathTheEarth,0.0195,2.97,"136,272"
Main-PowerCrystal,0.0195,2.92,"200,860"
Main-OurMonstersAreWeird,0.0195,2.83,"222,803"
Main-CatFolk,0.0194,2.92,"163,081"
Main-InstantAIJustAddWater,0.0194,2.94,"201,447"
Main-IronicHell,0.0194,3.00,"100,960"
Main-ToServeMan,0.0193,2.95,"113,630"
Main-ItRunsOnNonsensoleum,0.0193,2.96,"172,676"
Main-PowerNullifier,0.0192,2.95,"107,428"
Main-BlindSeer,0.0192,2.94,"192,266"
Main-BloodBath,0.0191,3.05,"149,452"
Main-PowersAsPrograms,0.0191,2.91,"110,234"
Main-WasOnceAMan,0.0190,2.91,"138,317"
Main-VainSorceress,0.0190,2.98,"134,349"
Main-EverythingIsOnline,0.0190,2.94,"181,639"
Main-TheGreys,0.0190,3.07,"74,508"
Main-PhlebotinumBreakdown,0.0190,2.99,"123,666"
Main-TheLostWoods,0.0189,2.95,"264,693"
Main-HardLight,0.0189,3.00,"88,142"
Main-BadPowersBadPeople,0.0188,2.89,"99,759"
Main-CharmPerson,0.0188,3.01,"89,565"
Main-ScaledUp,0.0188,2.79,"247,796"
Main-DepopulationBomb,0.0188,3.02,"132,337"
Main-LivingLieDetector,0.0187,2.92,"171,182"
Main-HeartIsAnAwesomePower,0.0186,2.86,"196,379"
Main-HumanityEnsues,0.0184,2.80,"278,922"
Main-FluffyCloudHeaven,0.0183,3.03,"116,676"
Main-JediMindTrick,0.0183,2.98,"70,991"
Main-EvilDetectingDog,0.0182,2.91,"236,448"
Main-WeAreAsMayflies,0.0182,2.90,"106,924"
Main-ForgottenPhlebotinum,0.0181,2.93,"76,616"
Main-NightmareFace,0.0180,2.80,"370,139"
Main-NeglectfulPrecursors,0.0179,2.99,"78,520"
Main-CastingAShadow,0.0178,2.91,"154,727"
Main-LostWorld,0.0178,3.01,"183,982"
Main-ISeeDeadPeople,0.0178,3.10,"119,341"
Main-HeroicAlbino,0.0177,2.97,"242,401"
Main-HorsemenOfTheApocalypse,0.0177,2.99,"121,692"
Main-IDontLikeTheSoundOfThatPlace,0.0177,2.87,"277,888"
Main-MagicFeather,0.0177,2.95,"180,883"
Main-ToHellAndBack,0.0176,2.97,"148,324"
Main-EquivalentExchange,0.0176,2.93,"156,608"
Main-AmazingTechnicolorPopulation,0.0176,2.94,"237,710"
Main-GeneticMemory,0.0175,2.98,"167,347"
Main-IKnowYourTrueName,0.0175,2.85,"333,579"
Main-CelestialBureaucracy,0.0174,3.06,"100,049"
Main-PrimalFear,0.0174,2.72,"416,722"
Main-EverythingsBetterWithBunnies,0.0173,2.84,"482,144"
Main-SuperHeroOrigin,0.0173,3.08,"29,648"
Main-SuperWeight,0.0172,2.63,"467,971"
Main-TheGrotesque,0.0172,3.03,"116,192"
Main-EvilKnockoff,0.0172,2.87,"162,347"
Main-MoreTeethThanTheOsmondFamily,0.0171,2.94,"135,352"
Main-Curse,0.0171,2.97,"174,555"
Main-HauntedHouse,0.0170,3.03,"328,722"
Main-SmallAnnoyingCreature,0.0169,3.02,"125,015"
Main-BodySnatcher,0.0169,3.39,"25,068"
Main-AlienSky,0.0169,2.94,"172,842"
Main-HumansAreCthulhu,0.0169,2.98,"202,595"
Main-Necromancer,0.0169,2.96,"194,180"
Main-OurGiantsAreBigger,0.0168,3.05,"62,002"
Main-HiveQueen,0.0168,3.02,"44,097"
Main-DeusEstMachina,0.0168,2.88,"221,295"
Main-RagnarokProofing,0.0167,2.95,"106,884"
Main-NightmareRetardant,0.0167,2.79,"385,324"
Main-HorseOfADifferentColor,0.0167,2.92,"148,703"
Main-FromASingleCell,0.0167,2.97,"50,313"
Main-PantheraAwesome,0.0166,2.74,"320,795"
Main-MagicVersusScience,0.0166,2.83,"190,030"
Main-SpiderSense,0.0166,3.01,"83,729"
Main-GreatBigBookOfEverything,0.0166,2.94,"176,756"
Main-BondCreatures,0.0164,2.91,"181,297"
Main-OurGoblinsAreDifferent,0.0164,2.93,"179,147"
Main-PhantomZone,0.0164,3.07,"35,715"
Main-FisherKing,0.0163,2.93,"186,355"
Main-PsychicLink,0.0163,2.84,"274,793"
Main-EgyptianMythology,0.0163,3.06,"55,654"
Main-SuperpowerfulGenetics,0.0162,2.85,"140,727"
Main-DreamLand,0.0162,3.02,"175,767"
Main-NotSoImaginaryFriend,0.0162,2.96,"203,791"
Main-HumansAreMorons,0.0162,2.98,"205,143"
Main-ShapeshifterModeLock,0.0162,2.92,"217,920"
Main-Synchronization,0.0161,2.98,"56,443"
Main-TheMagicGoesAway,0.0161,2.99,"121,626"
Main-ScienceHero,0.0161,2.86,"197,567"
Main-TronLines,0.0160,2.96,"91,295"
Main-Technopath,0.0160,3.00,"64,726"
Main-SpacePolice,0.0159,3.01,"157,729"
Main-StrappedToAnOperatingTable,0.0159,2.94,"139,928"
Main-OurFairiesAreDifferent,0.0158,2.86,"328,181"
Main-FunSize,0.0158,2.88,"177,635"
Main-SuperReflexes,0.0157,3.05,"128,198"
Main-FirstContact,0.0157,3.06,"125,649"
Main-IronicNurseryTune,0.0156,2.86,"349,388"
Main-MonsterMash,0.0156,2.78,"372,753"
Main-AndManGrewProud,0.0156,3.05,"62,671"
Main-BigFriendlyDog,0.0156,3.03,"190,775"
Main-EmpathicEnvironment,0.0155,3.03,"94,911"
Main-LandDownunder,0.0155,2.91,"255,707"
Main-DifferentlyPoweredIndividual,0.0155,2.96,"107,493"
Main-MadOracle,0.0154,3.02,"126,444"
Main-AlienBlood,0.0154,2.91,"107,856"
Main-FantasticNuke,0.0154,3.00,"83,408"
Main-StoryBreakerPower,0.0154,2.87,"111,922"
Main-LossOfIdentity,0.0153,2.93,"105,361"
Main-RewritingReality,0.0153,3.01,"115,717"
Main-HumanxCommonwealth,0.0153,2.96,"97,019"
Main-AchievementsInIgnorance,0.0152,2.95,"103,141"
Main-Hellhound,0.0152,2.96,"121,409"
Main-ThirteenIsUnlucky,0.0152,2.95,"213,294"
Main-ReligionIsMagic,0.0151,2.85,"232,026"
Main-BeastMan,0.0151,2.99,"98,299"
Main-TransformationRay,0.0151,3.06,"50,387"
Main-MySignificanceSenseIsTingling,0.0151,2.98,"41,545"
Main-Terraform,0.0150,2.98,"174,410"
Main-IntellectualAnimal,0.0150,3.02,"124,326"
Main-TimeMachine,0.0150,2.95,"200,509"
Main-DinosaursAreDragons,0.0150,2.84,"228,378"
Main-AmusingAlien,0.0149,2.93,"167,692"
Main-InsignificantLittleBluePlanet,0.0149,2.89,"172,913"
Main-WalkingWasteland,0.0149,2.93,"102,530"
Main-AdamAndEvePlot,0.0149,2.94,"134,866"
Main-CoolMask,0.0148,2.87,"209,329"
Main-HumansAreWarriors,0.0148,2.98,"171,008"
Main-ScienceRelatedMemeticDisorder,0.0148,3.05,"76,777"
Main-BioAugmentation,0.0148,3.02,"137,520"
Main-Greyhawk,0.0147,3.07,"66,334"
Main-BlackEyesOfEvil,0.0147,2.90,"139,673"
Main-MechanicalLifeforms,0.0147,2.97,"105,382"
Main-AnimalStereotypes,0.0147,2.86,"379,191"
Main-PowerGivesYouWings,0.0147,2.94,"96,486"
Main-RavensAndCrows,0.0146,2.81,"309,833"
Main-ImaginaryFriend,0.0146,2.84,"300,174"
Main-AliensAndMonsters,0.0145,3.14,"23,693"
Main-BigBoosHaunt,0.0145,3.03,"91,879"
Main-DragonRider,0.0145,2.96,"150,594"
Main-FetusTerrible,0.0145,2.95,"81,431"
Main-ClosedCircle,0.0145,2.95,"217,441"
Main-HeadlessHorseman,0.0144,2.98,"106,600"
Main-PrehensileHair,0.0144,3.00,"162,911"
Main-MrFixit,0.0144,2.90,"126,506"
Main-MohsScaleOfScienceFictionHardness,0.0144,3.15,"147,326"
