"Rank","Word","Word in English","Happiness Score","Standard Deviation of Ratings"
"177","faithful","faithful","7.51","1.3248"
"178","heavens","heavens","7.51","1.7335"
"179","cherish","cherish","7.5","1.4743"
"180","comfort","comfort","7.5","1.1473"
"181","congrats","congrats","7.5","1.5419"
"182","cupcake","cupcake","7.5","1.7642"
"183","earn","earn","7.5","1.3439"
"184","extraordinary","extraordinary","7.5","1.374"
"185","glory","glory","7.5","1.6067"
"186","hilarious","hilarious","7.5","1.9821"
"187","moonlight","moonlight","7.5","1.359"
"188","optimistic","optimistic","7.5","1.3132"
"189","peaceful","peaceful","7.5","1.0926"
"190","romance","romance","7.5","1.4321"
"191","feast","feast","7.49","1.6473"
"192","attractive","attractive","7.48","0.9739"
"193","glad","glad","7.48","1.5151"
"194","grandma","grandma","7.48","1.5016"
"195","internet","internet","7.48","1.313"
"196","pleasant","pleasant","7.48","1.2162"
"197","profits","profits","7.48","1.3285"
"198","smart","smart","7.48","1.3738"
"199","x-mas","x-mas","7.48","1.821"
"200","babies","babies","7.46","1.5012"
"201","cheer","cheer","7.46","1.6807"
"202","courage","courage","7.46","1.1817"
"203","enthusiasm","enthusiasm","7.46","1.1287"
"204","honest","honest","7.46","1.1287"
"205","loyal","loyal","7.46","1.2488"
"206","opportunities","opportunities","7.46","1.0919"
"207","triumph","triumph","7.46","1.8318"
"208","wow","wow","7.46","1.4458"
"209","jewels","jewels","7.46","1.6153"
"210","forests","forests","7.45","1.332"
"211","apple","apple","7.44","1.2316"
"212","dreams","dreams","7.44","1.4165"
"213","fantasy","fantasy","7.44","1.6183"
"214","food","food","7.44","1.2149"
"215","honey","honey","7.44","1.5928"
"216","miracles","miracles","7.44","1.9395"
"217","sex","sex","7.44","1.6801"
"218","sing","sing","7.44","1.3426"
"219","starlight","starlight","7.44","1.4165"
"220","thankful","thankful","7.44","1.5005"
"221","wins","wins","7.44","1.2643"
"222","achieve","achieve","7.42","1.2304"
"223","adored","adored","7.42","1.4441"
"224","cash","cash","7.42","1.6671"
"225","dances","dances","7.42","1.295"
"226","gorgeous","gorgeous","7.42","1.9597"
"227","grandchildren","grandchildren","7.42","1.5131"
"228","incredible","incredible","7.42","1.3415"
"229","lunch","lunch","7.42","1.0897"
"230","mommy","mommy","7.42","1.7623"
"231","parties","parties","7.42","1.4441"
"232","perfect","perfect","7.42","1.7154"
"233","saturday","saturday","7.42","1.7154"
"234","surprise","surprise","7.42","1.5398"
"235","truth","truth","7.42","1.401"
"236","blessing","blessing","7.4","1.7379"
"237","creative","creative","7.4","1.1952"
"238","dinner","dinner","7.4","1.1429"
"239","kindness","kindness","7.4","1.088"
"240","pleased","pleased","7.4","1.1606"
"241","sexy","sexy","7.4","1.2289"
"242","strength","strength","7.4","1.1606"
"243","thank","thank","7.4","1.1249"
"244","thanks","thanks","7.4","1.5119"
"245","thanksgiving","thanksgiving","7.4","1.4142"
"246","treasure","treasure","7.4","1.7143"
"247","valentine","valentine","7.4","1.7023"
"248","riches","riches","7.39","1.6685"
"249","awarded","awarded","7.38","1.1586"
"250","fabulous","fabulous","7.38","1.5372"
"251","grandfather","grandfather","7.38","1.427"
"252","heavenly","heavenly","7.38","1.8282"
"253","hope","hope","7.38","1.3076"
"254","kids","kids","7.38","1.6022"
"255","magical","magical","7.38","1.2919"
"256","million","million","7.38","1.427"
"257","nice","nice","7.38","1.5104"
"258","sundays","sundays","7.38","1.4553"
"259","wealth","wealth","7.38","1.2271"
"260","fantasies","fantasies","7.36","1.3898"
"261","cares","cares","7.36","1.3962"
"262","dance","dance","7.36","1.4394"
"263","daughters","daughters","7.36","1.2249"
"264","favorable","favorable","7.36","1.5086"
"265","friend's","friend's","7.36","1.6383"
"266","generosity","generosity","7.36","1.2739"
"267","grateful","grateful","7.36","1.4675"
"268","inspired","inspired","7.36","1.1021"
"269","mothers","mothers","7.36","1.4675"
"270","parents","parents","7.36","1.5086"
"271","valentine's","valentine's","7.36","1.3211"
"272","intelligent","intelligent","7.35","1.5504"
"273","liberation","liberation","7.35","1.3039"
"274","melody","melody","7.35","1.7742"
"275","wonderland","wonderland","7.35","1.64"
"276","beloved","beloved","7.34","1.2715"
"277","caring","caring","7.34","1.4086"
"278","homemade","homemade","7.34","1.239"
"279","inspiring","inspiring","7.34","1.1886"
"280","movies","movies","7.34","1.4514"
"281","precious","precious","7.34","1.5201"
"282","respect","respect","7.34","1.6113"
"283","satisfaction","satisfaction","7.34","1.1178"
"284","satisfy","satisfy","7.34","1.4373"
"285","wedding","wedding","7.34","1.5201"
"286","accomplished","accomplished","7.32","1.3005"
"287","adorable","adorable","7.32","1.6956"
"288","championship","championship","7.32","1.3619"
"289","comfortable","comfortable","7.32","1.0962"
"290","cuddle","cuddle","7.32","1.7313"
"291","games","games","7.32","1.2196"
"292","grandson","grandson","7.32","1.4769"
"293","life","life","7.32","1.6956"
"294","lovely","lovely","7.32","1.5444"
"295","pretty","pretty","7.32","1.6956"
"296","proud","proud","7.32","1.4348"
"297","rose","rose","7.32","1.463"
"298","united","united","7.32","1.2027"
"299","fruits","fruits","7.31","1.5303"
"300","adventure","adventure","7.3","1.4321"
"301","couple","couple","7.3","1.2657"
"302","dollars","dollars","7.3","1.4604"
"303","eating","eating","7.3","1.7757"
"304","fortune","fortune","7.3","1.3887"
"305","generous","generous","7.3","1.4743"
"306","golden","golden","7.3","1.3439"
"307","hahah","hahah","7.3","1.5419"
"308","hooray","hooray","7.3","2.0727"
"309","intelligence","intelligence","7.3","1.1995"
"310","lover","lover","7.3","1.9299"
"311","luxury","luxury","7.3","1.6812"
"312","money","money","7.3","1.8434"
"313","passion","passion","7.3","1.4743"
"314","prosperity","prosperity","7.3","1.5286"
"315","remarkable","remarkable","7.3","1.3286"
"316","sweetie","sweetie","7.3","1.1294"
"317","valentines","valentines","7.3","1.7757"
"318","educated","educated","7.29","1.307"
"319","gently","gently","7.29","1.2748"
"320","baby","baby","7.28","1.8521"
"321","books","books","7.28","1.3254"
"322","bride","bride","7.28","1.5391"
"323","cherished","cherished","7.28","1.5784"
"324","cookies","cookies","7.28","1.7028"
"325","dessert","dessert","7.28","1.7733"
"326","employed","employed","7.28","1.3559"
"327","glow","glow","7.28","1.2943"
"328","god","god","7.28","1.9277"
"329","great-grandchildren","great-grandchildren","7.28","1.7028"
"330","helped","helped","7.28","1.2943"
"331","independence","independence","7.28","1.5913"
"332","likes","likes","7.28","1.5391"
"333","luckily","luckily","7.28","1.6542"
"334","moon","moon","7.28","1.3708"
"335","perfectly","perfectly","7.28","1.5913"
"336","satisfied","satisfied","7.28","1.5258"
"337","sunday","sunday","7.28","1.9171"
"338","juicy","juicy","7.27","1.2037"
"339","championships","championships","7.26","1.3524"
"340","divine","divine","7.26","1.4115"
"341","dreaming","dreaming","7.26","1.2586"
"342","foods","foods","7.26","1.482"
"343","fresh","fresh","7.26","1.3219"
"344","gladly","gladly","7.26","1.1214"
"345","greatest","greatest","7.26","1.5228"
"346","hearts","hearts","7.26","1.6759"
"347","luck","luck","7.26","1.8824"
"348","millions","millions","7.26","1.5361"
"349","musicians","musicians","7.26","1.0461"
"350","play","play","7.26","1.2257"
"351","progress","progress","7.26","1.1572"
"352","savings","savings","7.26","1.2747"
"353","appreciation","appreciation","7.24","1.4653"
"354","bliss","bliss","7.24","1.7562"
"355","bloom","bloom","7.24","1.598"
"356","book","book","7.24","1.2048"
"357","child","child","7.24","1.5592"
"358","companion","companion","7.24","1.3786"
"359","computer","computer","7.24","1.3933"
"360","gardens","gardens","7.24","1.3486"
"361","gentle","gentle","7.24","0.9806"
"362","hahahah","hahahah","7.24","2.036"
"363","helpful","helpful","7.24","1.2382"
"364","impressed","impressed","7.24","1.0412"
"365","kind","kind","7.24","1.3933"
"366","knowledge","knowledge","7.24","1.4647"
"367","liberty","liberty","7.24","1.2707"
"368","mama","mama","7.24","1.7562"
"369","nature","nature","7.24","1.802"
"370","pal","pal","7.24","1.2707"
"371","passionate","passionate","7.24","1.0797"
"372","promoted","promoted","7.24","1.4923"
"373","reward","reward","7.24","1.8905"
"374","warmth","warmth","7.24","1.6483"
"375","xmas","xmas","7.24","2.105"
"376","danced","danced","7.22","1.2122"
"377","amazed","amazed","7.22","1.8658"
"378","appreciate","appreciate","7.22","1.183"
"379","brother","brother","7.22","1.2337"
"380","confidence","confidence","7.22","1.2824"
"381","darling","darling","7.22","1.3138"
"382","encouraging","encouraging","7.22","1.5556"
"383","energy","energy","7.22","1.2982"
"384","films","films","7.22","1.2824"
"385","garden","garden","7.22","1.183"
"386","graduated","graduated","7.22","1.2664"
"387","guitar","guitar","7.22","1.4748"
"388","health","health","7.22","1.2501"
"389","heart","heart","7.22","1.4327"
"390","honor","honor","7.22","1.2002"
"391","like","like","7.22","1.2171"
"392","musical","musical","7.22","1.5556"
"393","pets","pets","7.22","1.5292"
"394","relaxed","relaxed","7.22","1.0554"
"395","salary","salary","7.22","1.3445"
"396","star","star","7.22","1.5817"
"397","sweeter","sweeter","7.22","1.1119"
"398","trust","trust","7.22","1.2337"
"399","yummy","yummy","7.22","1.7876"
"400","ecstasy","ecstasy","7.2","1.7318"
"401","eternal","eternal","7.2","1.5272"
"402","approved","approved","7.2","1.4983"
"403","benefits","benefits","7.2","1.0498"
"404","cartoon","cartoon","7.2","1.4428"
"405","comforted","comforted","7.2","1.4428"
"406","cool","cool","7.2","1.3401"
"407","discount","discount","7.2","1.2936"
"408","good","good","7.2","1.4569"
"409","google","google","7.2","1.3093"
"410","ladies","ladies","7.2","1.4708"
"411","libraries","libraries","7.2","1.2454"
"412","luv","luv","7.2","1.8406"
"413","perfection","perfection","7.2","1.6288"
"414","presents","presents","7.2","1.4569"
"415","prizes","prizes","7.2","2.0304"
"416","special","special","7.2","1.1952"
"417","wishes","wishes","7.2","1.2122"
"418","alive","alive","7.18","1.2887"
"419","awards","awards","7.18","1.207"
"420","bed","bed","7.18","1.2887"
"421","best","best","7.18","1.6866"
"422","coffee","coffee","7.18","1.4803"
"423","comfy","comfy","7.18","1.2237"
"424","fiesta","fiesta","7.18","1.7692"
"425","genuine","genuine","7.18","1.3805"
"426","helping","helping","7.18","1.6374"
"427","imagine","imagine","7.18","1.1008"
"428","leisure","leisure","7.18","1.6986"
"429","meal","meal","7.18","1.4665"
"430","promise","promise","7.18","1.1899"
"431","respected","respected","7.18","1.024"
"432","rest","rest","7.18","1.2567"
"433","travel","travel","7.18","1.4241"
"434","abundant","abundant","7.16","1.6458"
"435","attracted","attracted","7.16","1.1669"
"436","devoted","devoted","7.16","1.3607"
"437","favourite","favourite","7.16","1.3607"
"438","granddaughter","granddaughter","7.16","1.6946"
"439","heroes","heroes","7.16","1.5696"
"440","ideas","ideas","7.16","1.2835"
"441","liked","liked","7.16","0.9116"
"442","oceans","oceans","7.16","1.6208"
"443","pizza","pizza","7.16","1.3303"
"444","skies","skies","7.16","1.3456"
"445","sleep","sleep","7.16","1.7066"
"446","spring","spring","7.16","1.4337"
"447","sunset","sunset","7.16","2.1127"
"448","welcome","welcome","7.16","1.3149"
"449","1st","1st","7.14","1.7025"
"450","adoring","adoring","7.14","1.6904"
"451","brighter","brighter","7.14","1.325"
"452","children's","children's","7.14","1.512"
"453","cure","cure","7.14","1.512"
"454","fireworks","fireworks","7.14","1.4848"
"455","home","home","7.14","1.8296"
"456","honored","honored","7.14","1.2779"
"457","journey","journey","7.14","1.512"
"458","lovin","lovin","7.14","1.9693"
"459","opportunity","opportunity","7.14","1.7144"
"460","paid","paid","7.14","1.7144"
"461","parks","parks","7.14","1.5651"
"462","playing","playing","7.14","1.4709"
"463","shine","shine","7.14","1.7144"
"464","strawberry","strawberry","7.14","1.4144"
"465","summertime","summertime","7.14","2.2224"
"466","wealthy","wealthy","7.14","1.7498"
"467","appreciated","appreciated","7.12","1.507"
"468","artistic","artistic","7.12","1.2395"
"469","birth","birth","7.12","1.6117"
"470","children","children","7.12","1.3498"
"471","fruit","fruit","7.12","1.5205"
"472","inspire","inspire","7.12","1.4797"
"473","juice","juice","7.12","1.0812"
"474","laptop","laptop","7.12","1.3498"
"475","partners","partners","7.12","1.4377"
"476","son","son","7.12","1.8142"
"477","stronger","stronger","7.12","1.0812"
"478","superman","superman","7.12","1.7219"
"479","tree","tree","7.12","1.3192"
"480","valuable","valuable","7.12","1.1183"
"481","woman's","woman's","7.12","1.3498"
"482","women","women","7.12","1.4658"
"483","glowing","glowing","7.1","1.4324"
"484","admiration","admiration","7.1","1.4604"
"485","carnival","carnival","7.1","1.7642"
"486","computers","computers","7.1","1.2817"
"487","confident","confident","7.1","1.1824"
"488","cookie","cookie","7.1","1.2976"
"489","cutie","cutie","7.1","1.3132"
"490","dearest","dearest","7.1","1.2817"
"491","dream","dream","7.1","1.9614"
"492","freely","freely","7.1","1.374"
"493","fridays","fridays","7.1","1.4604"
"494","plants","plants","7.1","1.2976"
"495","quality","quality","7.1","1.4178"
"496","rabbit","rabbit","7.1","1.2164"
"497","resort","resort","7.1","1.4463"
"498","shopping","shopping","7.1","1.5419"
"499","sincere","sincere","7.1","1.0351"
"500","snack","snack","7.1","1.5682"
"501","stars","stars","7.1","1.5419"
"502","toys","toys","7.1","1.6568"
"503","useful","useful","7.1","1.1995"
"504","wise","wise","7.1","1.2657"
"505","yum","yum","7.1","1.488"
"506","desirable","desirable","7.08","1.6563"
"507","sparkle","sparkle","7.08","1.6181"
"508","bless","bless","7.08","1.9675"
"509","comic","comic","7.08","1.5628"
"510","cooking","cooking","7.08","1.2911"
"511","dancing","dancing","7.08","1.6142"
"512","earned","earned","7.08","1.1753"
"513","equality","equality","7.08","1.8277"
"514","faith","faith","7.08","1.4405"
"515","graduate","graduate","7.08","1.2428"
"516","improvements","improvements","7.08","1.4119"
"517","memories","memories","7.08","1.1925"
"518","park","park","7.08","1.3529"
"519","pet","pet","7.08","1.7004"
"520","powerful","powerful","7.08","1.5365"
"521","princess","princess","7.08","1.5758"
"522","qualities","qualities","7.08","1.1578"
"523","thrill","thrill","7.08","1.5628"
"524","true","true","7.08","1.1036"
"525","wonder","wonder","7.08","1.3068"
"526","everlasting","everlasting","7.06","1.3906"
"527","mamma","mamma","7.06","1.7006"
"528","caress","caress","7.06","1.7192"
"529","charm","charm","7.06","1.4201"
"530","clever","clever","7.06","1.3463"
"531","father","father","7.06","1.7427"
"532","grand","grand","7.06","1.3614"
"533","hehehe","hehehe","7.06","1.6587"
"534","idea","idea","7.06","1.2843"
"535","pearl","pearl","7.06","1.4201"
"536","pictures","pictures","7.06","1.3157"
"537","restaurant","restaurant","7.06","1.2521"
"538","sandwich","sandwich","7.06","1.3763"
"539","sharing","sharing","7.06","1.2843"
"540","strong","strong","7.06","1.5174"
"541","talent","talent","7.06","0.9775"
"542","talented","talented","7.06","1.5308"
"543","tenderness","tenderness","7.06","1.2683"
"544","weddings","weddings","7.06","1.6587"
"545","dove","dove","7.04","1.4428"
"546","awsome","awsome","7.04","1.7952"
"547","cherry","cherry","7.04","1.4563"
"548","daughter","daughter","7.04","1.8066"
"549","eat","eat","7.04","1.4563"
"550","favorite","favorite","7.04","1.6532"
"551","girlfriend","girlfriend","7.04","1.6283"
"552","hoping","hoping","7.04","1.1421"
"553","impressive","impressive","7.04","1.0294"
"554","loyalty","loyalty","7.04","1.7723"
"555","parent","parent","7.04","1.293"
"556","relationship","relationship","7.04","1.293"
"557","safe","safe","7.04","1.6157"
"558","scholarship","scholarship","7.04","1.6532"
"559","shining","shining","7.04","1.7608"
"560","sunrise","sunrise","7.04","1.7952"
"561","yoga","yoga","7.04","1.5903"
"562","respects","respects","7.02","1.6176"
"563","fairy","fairy","7.02","1.4789"
"564","humanity","humanity","7.02","1.6265"
"565","productivity","productivity","7.02","1.3148"
"566","brave","brave","7.02","1.2856"
"567","colours","colours","7.02","1.3775"
"568","correct","correct","7.02","1.4913"
"569","dad","dad","7.02","2.1236"
"570","daddy","daddy","7.02","1.7201"
"571","dollar","dollar","7.02","1.5185"
"572","easily","easily","7.02","1.6349"
"573","fans","fans","7.02","1.2534"
"574","goal","goal","7.02","1.2204"
"575","hawaii","hawaii","7.02","1.6841"
"576","honestly","honestly","7.02","1.5713"
"577","inspiration","inspiration","7.02","1.4497"
"578","olympics","olympics","7.02","1.3476"
"579","saints","saints","7.02","1.7201"
"580","sleeping","sleeping","7.02","1.672"
"581","wisdom","wisdom","7.02","1.5583"
"582","believed","believed","7","1.2778"
"583","better","better","7","1.2778"
"584","color","color","7","1.3702"
"585","colors","colors","7","1.7496"
"586","dad's","dad's","7","1.3851"
"587","determination","determination","7","1.4142"
"588","discovered","discovered","7","1.2454"
"589","gentlemen","gentlemen","7","1.4289"
"590","girl","girl","7","1.1606"
"591","harmony","harmony","7","1.4434"
"592","hello","hello","7","1.5119"
"593","hopes","hopes","7","1.5518"
"594","noble","noble","7","1.6036"
"595","praised","praised","7","1.3851"
"596","reliable","reliable","7","1.4846"
"597","trip","trip","7","1.5518"
"598","agreed","agreed","6.98","1.3013"
"599","approval","approval","6.98","1.2036"
"600","brothers","brothers","6.98","1.4497"
"601","concerts","concerts","6.98","1.5451"
"602","cooperation","cooperation","6.98","1.3775"
"603","encouraged","encouraged","6.98","1.237"
"604","giving","giving","6.98","1.1516"
"605","goals","goals","6.98","1.2036"
"606","ideal","ideal","6.98","1.7082"
"607","intellectual","intellectual","6.98","1.2856"
"608","invitation","invitation","6.98","1.3323"
"609","marry","marry","6.98","1.868"
"610","musician","musician","6.98","1.237"
"611","outdoors","outdoors","6.98","1.6962"
"612","photography","photography","6.98","1.4913"
"613","plenty","plenty","6.98","1.2204"
"614","rome","rome","6.98","1.4213"
"615","trees","trees","6.98","1.5971"
"616","trips","trips","6.98","1.3169"
"617","unique","unique","6.98","1.4356"
"618","wildlife","wildlife","6.98","1.6841"
"619","lullaby","lullaby","6.98","1.931"
"620","thrills","thrills","6.98","1.3306"
"621","abroad","abroad","6.96","1.2282"
"622","bath","bath","6.96","1.261"
"623","benefit","benefit","6.96","1.3087"
"624","birds","birds","6.96","1.428"
"625","dads","dads","6.96","1.4702"
"626","elegant","elegant","6.96","1.9268"
"627","eternally","eternally","6.96","1.7138"
"628","fair","fair","6.96","1.261"
"629","fancy","fancy","6.96","1.3696"
"630","great-grandfather","great-grandfather","6.96","1.7257"
"631","imagination","imagination","6.96","1.3547"
"632","improving","improving","6.96","0.8797"
"633","mountains","mountains","6.96","1.1945"
"634","ocean","ocean","6.96","1.7138"
"635","pancakes","pancakes","6.96","1.2115"
"636","photograph","photograph","6.96","1.5644"
"637","praying","praying","6.96","1.7492"
"638","present","present","6.96","1.2771"
"639","reunion","reunion","6.96","1.6283"
"640","safely","safely","6.96","1.4563"
"641","saving","saving","6.96","1.261"
"642","singing","singing","6.96","1.7019"
"643","songs","songs","6.96","1.8731"
"644","sunny","sunny","6.96","2.0894"
"645","terrific","terrific","6.96","2.0796"
"646","theater","theater","6.96","1.5513"
"647","vanilla","vanilla","6.96","1.3395"
"648","adore","adore","6.96","1.8592"
"649","gentleman","gentleman","6.96","1.7254"
"650","autumn","autumn","6.94","1.5039"
"651","cinema","cinema","6.94","1.596"
"652","college","college","6.94","1.4201"
"653","concert","concert","6.94","1.2022"
"654","correctly","correctly","6.94","1.3311"
"655","cozy","cozy","6.94","1.4626"
"656","dear","dear","6.94","1.544"
"657","earning","earning","6.94","1.5308"
"658","earns","earns","6.94","1.0956"
"659","gardening","gardening","6.94","1.2683"
"660","girls","girls","6.94","1.4626"
"661","massage","massage","6.94","1.6587"
"662","outdoor","outdoor","6.94","1.2357"
"663","photos","photos","6.94","1.1678"
"664","piano","piano","6.94","1.2683"
"665","sea","sea","6.94","1.2843"
"666","trusted","trusted","6.94","1.5331"
"667","albums","albums","6.92","1.3223"
"668","dignity","dignity","6.92","1.1753"
"669","favored","favored","6.92","1.3529"
"670","fitness","fitness","6.92","1.7478"
"671","game","game","6.92","1.6015"
"672","healing","healing","6.92","1.3974"
"673","learned","learned","6.92","1.5232"
"674","learning","learning","6.92","1.3529"
"675","prayers","prayers","6.92","1.8499"
"676","promote","promote","6.92","1.066"
"677","secure","secure","6.92","1.2911"
"678","spa","spa","6.92","1.4824"
"679","unity","unity","6.92","1.7478"
"680","wish","wish","6.92","1.4961"
"681","youtube","youtube","6.92","1.5097"
"682","favour","favour","6.92","1.5253"
"683","clean","clean","6.9","1.8979"
"684","dynamic","dynamic","6.9","1.3132"
"685","encourage","encourage","6.9","1.6812"
"686","infant","infant","6.9","1.7642"
"687","jewelry","jewelry","6.9","1.5017"
