,all tokens,in hedo,scores,not in hedo,category,weights,happy category,all_ind,Big4,normed mean happiness,gender category
MagicalGirl,"['Magical', 'Girl']","['magical', 'girl']","[7.38, 7.0]",[],,"[2, 2]",happy,"['AchillesHeel', 'ActionGirl', 'AdaptationExpansion', 'AlienGeometries', 'AlwaysFemale', 'AnArmAndALeg', 'AnimalStereotypes', 'AnimeGenres', 'AnimeHair', 'AprilFoolsDay', 'ArbitrarySkepticism', 'AscendedExtra', 'AudienceAlienatingPremise', 'AuthorAppeal', 'AuthorExistenceFailure', 'AuthorsSavingThrow', 'BFG', 'BadFuture', 'BadassFamily', 'Ballet', 'Bathos', 'BizarroEpisode', 'BreakThemByTalking', 'BreakoutCharacter', 'BrokenBird', 'CallingYourAttacks', 'CanonWelding', 'Capepunk', 'CaptainErsatz', 'CharactersAsDevice', 'ChildSoldiers', 'TheChosenOne', 'ChronicHeroSyndrome', 'Chuunibyou', 'ClarkKenting', 'CommonKnowledge', 'ContemptibleCover', 'CrapsaccharineWorld', 'CreatorKiller', 'CriticalDissonance', 'CrypticConversation', 'CulturalCrossReference', 'CuteMonsterGirl', 'DarkFic', 'DeconstructedTrope', 'Deconstruction', 'DeconstructorFleet', 'DecoyProtagonist', 'DefeatMeansFriendship', 'DisabilitySuperpower', 'Disneyfication', 'DistressedDude', 'DoubleMeaningTitle', 'DownloadableContent', 'Ecchi', 'EldritchLocation', 'Empowerment', 'TheEndOfTheWorldAsWeKnowIt', 'EnforcedMethodActing', 'TheEpic', 'EvilCounterpart', 'ExactlyWhatItSaysOnTheTin', 'FaceMonsterTurn', 'FairForItsDay', 'FairytaleMotifs', 'Fall2016Anime', 'Fanfic', 'FanficTropes', 'Fanime', 'FantasyWebcomics', 'FightingSeries', 'FountainOfExpies', 'FrillsOfJustice', 'GenreDeconstruction', 'GenreMashup', 'GenreShift', 'GenreTurningPoint', 'GreenEyedMonster', 'HeartIsAnAwesomePower', 'HighSchoolAU', 'HumanResources', 'HumanSacrifice', 'HumansAreSpecial', 'HumongousMecha', 'HurtingHero', 'InNameOnly', 'InSpiteOfANail', 'InTouchWithHisFeminineSide', 'IronWoobie', 'JustHereForGodzilla', 'LaserGuidedAmnesia', 'LateArrivalSpoiler', 'LegacyCharacter', 'LightningBruiser', 'LittleBitBeastly', 'LoadsAndLoadsOfCharacters', 'LotusEaterMachine', 'MagicAndPowers', 'MagicKnight', 'MagicalGirlGenreIndex', 'MagicalGirlTropes', 'ManOfAThousandVoices', 'MassiveMultiplayerCrossover', 'MaybeMagicMaybeMundane', 'MeaningfulAppearance', 'MemeticPersonalityChange', 'MentalWorld', 'TheMerch', 'Moe', 'MohsScaleOfRockAndMetalHardness', 'Mon', 'MonsSeries', 'MysteriousStranger', 'NakedPeopleAreFunny', 'NamesToKnowInAnime', 'NarmCharm', 'NeverTrustATitle', 'TheNineties', 'NinetiesAntiHero', 'OddlyNamedSequel2ElectricBoogaloo', 'OlderThanCableTV', 'OmnicidalManiac', 'OncePerEpisode', 'OtokonokoGenre', 'OurZombiesAreDifferent', 'OverdosedTropes', 'OvershadowedByAwesome', 'PeggySue', 'PeripheryDemographic', 'PinkMeansFeminine', 'PlanetOfHats', 'PlotArmor', 'PopularityPolynomial', 'PowerGlows', 'ThePowerOfLove', 'PoweredByAForsakenChild', 'PrincessTropes', 'ThePromise', 'PurityPersonified', 'RagtagBunchOfMisfits', 'Reconstruction', 'RecycledPremise', 'RedHerring', 'RewardedAsATraitorDeserves', 'RhetoricalQuestionBlunder', 'RomanticismVersusEnlightenment', 'RoyalsWhoActuallyDoSomething', 'RuleOfGlamorous', 'SacrificialLion', 'SchoolClubStories', 'SchoolgirlSeries', 'SciFiWebcomics', 'SecretIdentity', 'Seinen', 'SelfHarm', 'ShoujoDemographic', 'ShrinkingViolet', 'SignatureStyle', 'SliceOfLifeWebcomics', 'SolitaryTropes', 'SpaceOpera', 'Spring2012Anime', 'Spring2014Anime', 'Spring2015Anime', 'SquarePegRoundTrope', 'StarCrossedLovers', 'StockJapaneseCharacters', 'StockShoutOuts', 'Stripperiffic', 'SubvertedKidsShow', 'Summer2011Anime', 'Summer2013Anime', 'Summer2014Anime', 'ThanatosGambit', 'ThisIndexIsUseless', 'TimeyWimeyBall', 'TransformationSequence', 'Transgender', 'Transhuman', 'TriangRelations', 'UnclassifiedWebcomics', 'UndeadHorseTrope', 'UnderestimatingBadassery', 'UnexpectedlyDarkEpisode', 'Villains', 'VocalDissonance', 'WaxingLyrical', 'WeCanRuleTogether', 'WebSerialNovel', 'WeirdnessCensor', 'WeirdnessMagnet', 'WhatKindOfLamePowerIsHeartAnyway', 'WholePlotReference', 'TheWikiRule', 'Winter2012Anime', 'Winter2013Anime', 'Winter2014Anime', 'Winter2015Anime', 'Winter2016Anime', 'Winter2017Anime', 'WishFulfillment', 'WitchWorks', 'WomenAreDelicate', 'YouGottaHaveBlueHair', 'YourPrincessIsInAnotherCastle', 'YuriGenre']","['NarrativeTropes', 'TopicalTropes']",7.19,female
GirlFriday,"['Girl', 'Friday']","['girl', 'friday']","[7.0, 6.88]",[],,"[2, 2]",happy,"['TheAllegedCar', 'AlwaysFemale', 'BavarianFireDrill', 'CharactersAsDevice', 'FilmNoir', 'OnlyKnownByTheirNickname', 'ServantTropes', 'Sidekick', 'ThisIndexIsNotAnExample']","['NarrativeTropes', 'TopicalTropes']",6.94,female
PerkyFemaleMinion,"['Perky', 'Female', 'Minion']",['female'],[6.88],"['perky', 'minion']",,[2],happy,"['AlwaysFemale', 'ArmedWithCanon', 'CharacterExaggeration', 'DistaffCounterpart', 'EvilMinions', 'ExtraversionTropes', 'HiddenDepths', 'PeripheryDemographic', 'SamusIsAGirl', 'ShootTheHostage', 'ThisIndexIsABitch', 'VillainousCrush', 'Villains']","['NarrativeTropes', 'TopicalTropes']",6.88,female
EvilUncle,"['Evil', 'Uncle']","['evil', 'uncle']","[1.9, 6.8]",[],,"[-3, 1]",not happy,"['AbusiveParents', 'ArchEnemy', 'BFS', 'BalefulPolymorph', 'CorruptCorporateExecutive', 'DysfunctionalFamilyIndex', 'EvenEvilHasLovedOnes', 'TheEvilPrince', 'FamilyTropes', 'GreaterScopeVillain', 'HappyEndingOverride', 'TheHero', 'HiddenEvil', 'HopeSpot', 'INeverSaidItWasPoison', 'KickTheSonOfABitch', 'LackOfEmpathy', 'LockedOutOfTheLoop', 'TheManBehindTheMan', 'NotHelpingYourCase', 'ObfuscatingStupidity', 'OlderThanDirt', 'ParentWithNewParamour', 'PhysicalGod', 'PreMortemOneLiner', 'PublicExecution', 'Reconstruction', 'RelatedInTheAdaptation', 'SparedByTheAdaptation', 'TraumaCongaLine', 'UnfinishedEpisode', 'VillainSong', 'VillainTeamUp', 'Villains']","['NarrativeTropes', 'TopicalTropes']",4.35,male
NeverASelfMadeWoman,"['Never', 'A', 'Self', 'Made', 'Woman']","['never', 'woman']","[3.34, 6.84]","['a', 'self', 'made']",,"[-2, 1]",not happy,"['AcceptableFeminineGoalsAndTraits', 'AlwaysFemale', 'CharactersAsDevice', 'DistaffCounterpart', 'DoubleStandard', 'TheEighties', 'GenderAndSexualityTropes', 'GenderDynamicsIndex', 'LawsAndFormulas', 'MenActWomenAre', 'ShowingUpChauvinists', 'TheSmurfettePrinciple', 'StayInTheKitchen', 'TropesInAggregate', 'VindicatedByHistory']","['NarrativeTropes', 'TopicalTropes']",5.09,female
StalkingIsFunnyIfItIsFemaleAfterMale,"['Stalking', 'Is', 'Funny', 'If', 'It', 'Is', 'Female', 'After', 'Male']","['funny', 'female']","[7.92, 6.88]","['stalking', 'is', 'if', 'it', 'is', 'after', 'male']",,"[3, 2]",happy,"['AbuseTropes', 'DoubleStandard', 'DoubleStandardAbuseFemaleOnMale', 'GenderDynamicsIndex', 'HaremGenre', 'LoveTropes', 'ObsessionTropes', 'StalkerWithACrush']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.4,female
UglyGuyHotWife,"['Ugly', 'Guy', 'Hot', 'Wife']","['ugly', 'wife']","[2.74, 6.62]","['guy', 'hot']",,"[-3, 1]",not happy,"['AbhorrentAdmirer', 'AgeGapRomance', 'BeastMan', 'TheBeautifulTropes', 'BeautyEqualsGoodness', 'BrokenAesop', 'CharactersAndCasting', 'ComedicReliefCharacters', 'ComedyTropes', 'DeadUnicornTrope', 'DistaffCounterpart', 'DoubleStandard', 'DuoTropes', 'Foil', 'GiveGeeksAChance', 'IndexOfRomanticCouples', 'MarriageTropes', 'MenAreTough', 'OlderThanFeudalism', 'PettingZooPeople', 'SitcomTropes', 'SquarePegRoundTrope', 'UglinessTropes', 'UndeadHorseTrope', 'WomenAreDelicate']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",4.68,
AFatherToHisMen,"['A', 'Father', 'To', 'His', 'Men']",['father'],[7.06],"['a', 'to', 'his', 'men']",,[2],happy,"['AdaptationPersonalityChange', 'AdoptAnIndex', 'AllOfTheOtherReindeer', 'AlwaysMale', 'AuthorityTropes', 'BadBoss', 'BrokenAce', 'CharactersAsDevice', 'ContrastingSequelMainCharacter', 'CoolOldGuy', 'DarkIsNotEvil', 'DueToTheDead', 'KnightInShiningTropes', 'ManipulativeBastard', 'MilitaryAndWarfareTropes', 'TheMole', 'NobleDemon', 'OverdosedTropes', 'PapaWolf', 'ReasonableAuthorityFigure', 'Reconstruction', 'RescuedFromTheScrappyHeap', 'SelflessnessTropes', 'SlidingScaleOfLeadershipResponsibility', 'TakeAThirdOption', 'UndyingLoyalty', 'TheUnfettered', 'UnisexTropes', 'WeHaveReserves', 'YouAreNumberSix']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.06,male
GoodBadGirl,"['Good', 'Bad', 'Girl']","['good', 'bad', 'girl']","[7.2, 2.64, 7.0]",[],,"[2, -3, 2]",happy,"['APoliteIndex', 'AlwaysFemale', 'CharactersAsDevice', 'DistaffCounterpart', 'Foil', 'GiveGeeksAChance', 'HedonismTropes', 'IndexWithAHeartOfGold', 'MasculineGirlFeminineBoy', 'MsFanservice', 'QuirkyGood', 'ReformedButNotTamed', 'TropesAboutPerverts', 'WomenAreDelicate', 'YankTheDogsChain']","['NarrativeTropes', 'TopicalTropes']",5.61,female
WellExcuseMePrincess,"['Well', 'Excuse', 'Me', 'Princess']","['well', 'me', 'princess']","[6.68, 6.58, 7.08]",['excuse'],,"[1, 1, 2]",happy,"['AdaptationalJerkass', 'BelligerentSexualTension', 'CyclicTrope', 'DysfunctionalRomanceIndex', 'FairytaleMotifs', 'FluffyTheTerrible', 'FoeYay', 'LoveInterests', 'MemeticLoser', 'OncePerEpisode', 'PrincessTropes', 'Tsundere', 'TheUnfairSex']",[],6.78,female
AllWomenAreDomsAllMenAreSubs,"['All', 'Women', 'Are', 'Doms', 'All', 'Men', 'Are', 'Subs']",['women'],[7.12],"['all', 'are', 'doms', 'all', 'men', 'are', 'subs']",TopicalTropes,[2],happy,"['DiscreditedTrope', 'DoubleStandard', 'DoubleStandardAbuseFemaleOnMale', 'MenAreTough', 'SexTropes', 'WomenAreDelicate']",['TopicalTropes'],7.12,
GodSaveUsFromTheQueen,"['God', 'Save', 'Us', 'From', 'The', 'Queen']","['god', 'save']","[7.28, 6.54]","['us', 'from', 'the', 'queen']",,"[2, 1]",happy,"['AdaptationalVillainy', 'AlwaysChaoticEvil', 'AlwaysFemale', 'AmbiguousDisorder', 'Analysis', 'AuthorityTropes', 'BalefulPolymorph', 'BeamMeUpScotty', 'TheBeastmaster', 'BigBad', 'BlackAndGrayMorality', 'BreakTheHaughty', 'BreatherEpisode', 'BrokenPedestal', 'CerebusRetcon', 'CharactersAsDevice', 'CrackPairing', 'CrapsaccharineWorld', 'DeathWorld', 'DependingOnTheArtist', 'DistaffCounterpart', 'DoubleStandard', 'EsotericHappyEnding', 'EvilIsCool', 'EvilMakeover', 'TheEvilPrince', 'EvilVersusEvil', 'FairyTaleTropes', 'FauxAffablyEvil', 'GenderDynamicsIndex', 'HandicappedBadass', 'HiddenEvil', 'HistoricalVillainUpgrade', 'HumansAreSpecial', 'IncestSubtext', 'InsaneTrollLogic', 'ItsPersonal', 'JustForPun', 'KickTheSonOfABitch', 'LongHairIsFeminine', 'LostInTranslation', 'MeaningfulTitles', 'NobleDemon', 'OddballInTheSeries', 'OffingTheOffspring', 'OverdosedTropes', 'PoliticallyIncorrectVillain', 'PoweredByAForsakenChild', 'ProtagonistCenteredMorality', 'RewardedAsATraitorDeserves', 'RoyalsWhoActuallyDoSomething', 'RoyaltyAndNobilityTropes', 'SeasonalRot', 'TheStarscream', 'StockParodyJokes', 'StormingTheCastle', 'StoryArc', 'SuccessionCrisis', 'SuddenSequelDeathSyndrome', 'Telepathy', 'ThisIndexIsABitch', 'UnderestimatingBadassery', 'Unicorn', 'Villains', 'WomanlinessAsPathos', 'YouHaveFailedMe']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",6.91,female
AllWomenLoveShoes,"['All', 'Women', 'Love', 'Shoes']","['women', 'love']","[7.12, 8.42]","['all', 'shoes']",TopicalTropes,"[2, 3]",happy,"['AcceptableFeminineGoalsAndTraits', 'AgonyOfTheFeet', 'AllGirlsWantBadBoys', 'DoesNotLikeShoes', 'GirlyGirl', 'PerpSweating', 'Stereotype', 'TheseTropesAreMadeForWalking']",['TopicalTropes'],7.77,female
HigherEducationIsForWomen,"['Higher', 'Education', 'Is', 'For', 'Women']","['education', 'women']","[6.88, 7.12]","['higher', 'is', 'for']",,"[2, 2]",happy,"['EvolvingTrope', 'GenderDynamicsIndex', 'SchoolTropes', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.0,female
SassyBlackWoman,"['Sassy', 'Black', 'Woman']",['woman'],[6.84],"['sassy', 'black']",,[1],happy,"['AlwaysFemale', 'BlackIndex', 'Blaxploitation', 'CharactersAsDevice', 'ComedicReliefCharacters', 'DesignatedVillain', 'DiscreditedTrope', 'DistaffCounterpart', 'GiveGeeksAChance', 'HipHop', 'ListOfBadassTropes', 'MarshmallowHell', 'MascotRacer', 'NationalStereotypes', 'OhGreatASnarkIndex', 'OlderThanPrint', 'RaceTropes', 'RoyalsWhoActuallyDoSomething', 'UnfortunateImplications', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",6.84,female
MafiaPrincess,"['Mafia', 'Princess']","['mafia', 'princess']","[2.81, 7.08]",[],,"[-3, 2]",not happy,"['AdaptationAmalgamation', 'AlwaysFemale', 'CharactersAsDevice', 'ItsPersonal', 'OrganizedCrimeTropes', 'PrincessTropes', 'RichKids', 'RichPeople', 'Summer2012Anime']","['NarrativeTropes', 'TopicalTropes']",4.94,female
FemaleAngelMaleDemon,"['Female', 'Angel', 'Male', 'Demon']","['female', 'angel', 'demon']","[6.88, 7.68, 2.92]",['male'],,"[2, 2, -2]",happy,"['AngelicTropes', 'DoubleStandard', 'GenderDynamicsIndex', 'InfernalTropes', 'MenAreTough', 'ReligionTropes', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",5.83,
UnableToSupportAWife,"['Unable', 'To', 'Support', 'A', 'Wife']","['unable', 'wife']","[3.1, 6.62]","['to', 'support', 'a']",TopicalTropes,"[-2, 1]",not happy,"['ForgottenTrope', 'MarriageTropes', 'MoneyTropes', 'OldMaid', 'TeenPregnancy', 'WeddingAndEngagementTropes', 'WomanlinessAsPathos', 'WomenAreDelicate']",['TopicalTropes'],4.86,female
BastardGirlfriend,"['Bastard', 'Girlfriend']","['bastard', 'girlfriend']","[2.52, 7.04]",[],,"[-3, 2]",not happy,"['AbuseTropes', 'AllGirlsWantBadBoys', 'AlwaysFemale', 'AttractionToOutliers', 'CharactersAsDevice', 'DeconstructorFleet', 'DistaffCounterpart', 'DracoInLeatherPants', 'DysfunctionalFamilyIndex', 'DysfunctionalRomanceIndex', 'EvilIsSexy', 'Fanservice', 'HeelRealization', 'TheJerkIndex', 'LoveInterests', 'MenAreTough', 'PercussiveTherapy', 'RomanceNovelTropes', 'SadismIndex', 'SamusIsAGirl', 'SexualHarassmentAndRapeTropes', 'ThisIndexIsABitch', 'TropesAboutPerverts', 'WomenAreDelicate']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",4.78,female
IllGirl,"['Ill', 'Girl']","['ill', 'girl']","[2.42, 7.0]",[],,"[-3, 2]",not happy,"['AdaptationExpansion', 'AlwaysFemale', 'AuthorExistenceFailure', 'BeCarefulWhatYouWishFor', 'BuryYourGays', 'CharactersAsDevice', 'CompositeCharacter', 'ContrastingSequelMainCharacter', 'CreatorCouple', 'DarknessInducedAudienceApathy', 'DecoyProtagonist', 'DemotedToExtra', 'DiabolusExMachina', 'EsotericHappyEnding', 'EvilIsSexy', 'EvilPlan', 'FiveManBand', 'FlowerGardenIndex', 'FountainOfExpies', 'TheFriendNobodyLikes', 'FriendToAllChildren', 'GameplayAndStorySegregation', 'GenreShift', 'GoodGirlsAvoidAbortion', 'HaremGenre', 'HeelFaceRevolvingDoor', 'Indexitis', 'KillEmAll', 'LotusEaterMachine', 'LoveMakesYouEvil', 'MasculineGirlFeminineBoy', 'MissionControl', 'Moe', 'MotorMouth', 'NightmareFuelStationAttendant', 'OffingTheOffspring', 'OlderThanRadio', 'Opera', 'OverdosedTropes', 'PromotionToParent', 'ProtagonistCenteredMorality', 'SingleWomanSeeksGoodMan', 'SparedByTheAdaptation', 'StarCrossedLovers', 'StayInTheKitchen', 'SuperWeight', 'VerySpecialEpisode', 'WeCanRuleTogether', 'WhatTheHellIsThatAccent', 'WomanlinessAsPathos', 'WomenAreDelicate', 'WorksSetInWorldWarI']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",4.71,female
RealMenEatMeat,"['Real', 'Men', 'Eat', 'Meat']","['real', 'eat']","[6.78, 7.04]","['men', 'meat']",,"[1, 2]",happy,"['FoodAsCharacterization', 'FoodTropes', 'GenderAndSexualityTropes', 'GenderDynamicsIndex', 'MasculinityTropes', 'MeatOfTheIndex', 'MemeticPersonalityChange', 'MenAreTough']","['NarrativeTropes', 'TopicalTropes']",6.91,male
BespectacledBastardBoyfriend,"['Bespectacled', 'Bastard', 'Boyfriend']",['bastard'],[2.52],"['bespectacled', 'boyfriend']",,[-3],not happy,"['AlwaysMale', 'BoysLoveTropes', 'CharactersAsDevice', 'DracoInLeatherPants', 'DysfunctionalRomanceIndex', 'EvilIsSexy', 'FanserviceCharacters', 'GlassesTropes', 'HaremGenre', 'TheJerkIndex', 'LoveInterests', 'SadismIndex', 'ScrewYourself', 'StockJapaneseCharacters', 'YaoiGenre']","['NarrativeTropes', 'TopicalTropes']",2.52,male
UselessBoyfriend,"['Useless', 'Boyfriend']",['useless'],[2.52],['boyfriend'],,[-3],not happy,"['AlwaysMale', 'CharactersAsDevice', 'DistressedDude', 'LoveInterests', 'MagicalGirlTropes', 'MasculineGirlFeminineBoy', 'MenAreTough', 'ThisIndexIsUseless']","['NarrativeTropes', 'TopicalTropes']",2.52,male
StrugglingSingleMother,"['Struggling', 'Single', 'Mother']","['struggling', 'mother']","[2.72, 7.68]",['single'],,"[-3, 2]",not happy,"['AliceAndBob', 'AlwaysFemale', 'AutismInMedia', 'CharactersAsDevice', 'DysfunctionalFamilyIndex', 'FamilyTropes', 'TheParentTrope', 'PovertyTropes', 'TheSinglesIndex', 'ThisIndexBrokeUp', 'ThisIndexHasHadAHardLife', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",5.2,female
FemaleFighterMaleHandler,"['Female', 'Fighter', 'Male', 'Handler']",['female'],[6.88],"['fighter', 'male', 'handler']",,[2],happy,"['ActionGirl', 'DuoTropes', 'Ensembles', 'Foil', 'GenderDynamicsIndex', 'MenAreTough', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",6.88,
TinyTyrannicalGirl,"['Tiny', 'Tyrannical', 'Girl']",['girl'],[7.0],"['tiny', 'tyrannical']",TopicalTropes,[2],happy,"['AlwaysFemale', 'HeightTropes', 'Youngsters']",['TopicalTropes'],7.0,female
GratuitousPrincess,"['Gratuitous', 'Princess']",['princess'],[7.08],['gratuitous'],,[2],happy,"['ChildSoldiers', 'ExcusePlot', 'FauxAffablyEvil', 'GarnishingTheStory', 'NinjaPirateZombieRobot', 'PrincessTropes', 'RoyalsWhoActuallyDoSomething', 'TheSmurfettePrinciple', 'SpaceOpera', 'ThemeNaming', 'TheyCallMeMisterTibbs']",[],7.08,female
HotGypsyWoman,"['Hot', 'Gypsy', 'Woman']",['woman'],[6.84],"['hot', 'gypsy']",TopicalTropes,[1],happy,"['AlwaysFemale', 'BettyAndVeronica', 'DoesNotLikeShoes', 'FanserviceCharacters', 'ForeignFanservice', 'GeniusBonus', 'ObliviousToLove', 'Orientalism', 'RaceFetish', 'RaceTropes', 'VillainousCrush']",['TopicalTropes'],6.84,female
OneWomanWail,"['One', 'Woman', 'Wail']",['woman'],[6.84],"['one', 'wail']",,[1],happy,"['AlasPoorVillain', 'AlwaysFemale', 'Bathos', 'DarkReprise', 'EvenBetterSequel', 'LeftTheBackgroundMusicOn', 'MohsScaleOfRockAndMetalHardness', 'MusicTropes', 'NamesToKnowInAnime', 'OminousLatinChanting', 'SadnessTropes', 'ScoreAndMusicTropes', 'Spectacle', 'TearJerker']","['MediaTropes', 'NarrativeTropes']",6.84,female
SupernaturalProofFather,"['Supernatural', 'Proof', 'Father']",['father'],[7.06],"['supernatural', 'proof']",,[2],happy,"['ActionDad', 'CharactersAsDevice', 'HorrorTropes', 'MenAreTough', 'TheParentTrope', 'WeirdnessCensor']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.06,male
